11370334
/m/02r975k
/m/02r975k
William Morris
1897
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 5
and 5
another 2
are 1
as 4
assisted 1
await 1
birdalone 4
boat 1
by 4
captress 1
castle 1
champion 1
child 1
clad 1
deliverance 1
detail 1
during 1
encounters 1
escapes 1
evilshaw 1
fairy 1
fiction 1
finds 1
first 1
for 1
gear 1
godmother 1
goes 1
habundia 1
held 1
her 6
heroes 1
high 1
highly 1
in 4
into 1
is 6
islands 1
jams 1
killed 1
knight 2
lady 1
last 1
left 1
lookalike 1
love 1
lovers 1
magical 1
maidens 2
mourn 1
much 1
naked 1
new 1
novel 1
occasionally 1
of 7
one 1
out 3
over 1
paladins 1
prisoner 1
quarter 1
quest 1
raised 1
rescue 1
reunited 1
seeks 1
servant 1
set 1
she 3
stolen 1
story 1
strange 1
succession 1
the 10
their 2
they 2
three 2
throws 1
to 4
travels 1
ultimately 2
unusual 1
victorian 1
when 1
which 1
who 1
witch 2
with 1
women 1
wonderful 1
wood 1
