14812901
/m/03gysl0
/m/03gysl0
Daniel Handler
2007-10-28
a 3
about 3
all 1
always 1
an 1
and 4
are 2
as 1
at 1
attempts 2
away 1
being 1
boiled 1
but 1
candy 1
cane 1
christmas 1
couldnt 1
culture 1
customs 1
each 1
educate 1
encounter 1
escapes 1
fairy 1
fit 1
from 2
frustration 1
frying 1
hanukkah 2
he 2
his 1
history 1
holiday 1
hot 1
ignorant 1
in 3
into 1
irate 1
is 1
jewish 1
latke 3
lights 1
of 2
pan 1
people 1
pine 1
runs 2
screaming 1
stop 1
such 1
surrounding 1
symbols 1
the 5
these 1
to 1
tree 1
uneducated 1
vain 1
various 1
who 3
