1422446
/m/0508d3
/m/0508d3
Emma Bull
1987
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 6
after 1
against 2
air 2
all 1
an 1
and 9
as 3
band 2
battle 1
be 2
being 1
between 2
black 1
both 1
boyfriend 1
breaking 1
by 2
climaxes 1
concert 1
court 3
courts 1
dark 1
darkness 2
decides 1
develop 1
discovers 1
dog 1
drafts 1
eddi 4
efforts 1
even 1
evil 1
faerie 3
fate 2
feelings 1
finds 1
for 2
good 1
gratitude 1
her 5
herself 1
his 1
home 1
in 3
initial 1
into 2
is 1
key 1
known 1
linchpin 1
love 1
loved 1
man 1
mccandry 1
meanwhile 1
minneapolis 1
more 1
new 1
night 1
noble 1
novel 1
of 6
one 3
ongoing 1
out 1
phouka 2
playoff 1
prankster 1
protect 1
pursued 1
put 1
queen 3
quitting 1
resentment 1
rock 3
ruled 1
same 1
seelie 1
shapeshifting 1
she 1
soon 1
streets 1
struggle 1
survival 1
that 1
the 12
they 1
threatening 2
through 1
to 4
together 1
toward 1
trying 1
turn 2
ultimately 1
unseelie 2
up 1
walking 1
well 1
which 1
while 1
who 1
with 1
