3755880
/m/09z8yy
/m/09z8yy
Anne Golon
1956
{"/m/0hwxm": "Historical novel"}
12 1
17 1
a 6
actual 1
advances 1
agrees 1
alone 1
ambitions 1
an 2
and 14
angelique 1
anglique 5
aquitaine 1
archbishop 1
arouses 1
arrested 1
at 2
attempts 1
avail 1
be 2
been 1
beggars 1
being 1
bellire 1
belong 1
betrothed 1
blackmails 1
brigands 1
burned 1
but 3
by 3
century 1
charged 1
child 1
children 1
claim 1
comte 1
conjugal 1
convent 1
count 1
country 2
countryside 1
court 1
cousin 1
darkness 1
de 6
decision 1
desperate 1
destiny 2
determination 1
dirristru 1
discovers 1
disliked 1
does 1
du 1
education 1
effort 1
existence 1
falls 1
families 1
family 2
favourite 1
fifth 1
fighting 1
finds 1
for 4
force 1
france 2
from 3
fueled 1
greatest 1
grows 1
had 1
has 1
haunt 1
have 1
her 16
herself 1
him 1
his 2
historical 1
husband 2
impoverished 1
in 8
independent 1
inheritance 1
insurmountable 1
intent 1
into 2
is 3
jealousy 1
jeoffrey 4
king 2
lame 1
life 2
logical 1
lord 1
louis 2
love 1
marriage 1
marry 1
marshal 1
marshlands 1
match 1
meager 1
mid17th 1
might 1
monarchy 2
monteloup 1
months 1
morens 1
murder 1
musician 1
no 1
noble 1
nobleman 2
nobles 1
not 1
odds 1
of 15
on 3
one 1
other 1
overcomes 1
paris 2
passing 1
passionately 1
peyrac 4
philippe 1
philosopher 1
plans 1
plessis 1
plunges 1
poitou 1
poor 1
powerful 1
pursue 1
rather 1
realizes 1
record 1
refuses 1
regain 1
reluctantly 1
remarkable 1
reputed 1
respects 1
returning 1
revenge 1
rich 1
rightful 1
rights 1
roam 1
royal 1
sake 1
sanc 1
save 1
scarred 1
scientist 1
seduce 1
senior 1
several 1
she 4
singlehandedly 1
sons 1
soon 1
sorcery 1
spend 1
stake 1
stolen 1
store 1
struggles 1
subsistence 1
surprise 1
survive 1
survives 1
take 1
talents 1
than 1
that 2
the 20
them 1
thieves 1
threatened 1
throne 1
to 14
too 1
toulouse 2
tries 1
underworld 2
unfair 1
unusual 1
up 1
use 1
virtues 1
way 1
were 1
who 3
wishing 1
with 3
wizard 1
works 1
would 1
xiv 2
years 1
young 1
