4456074
/m/0c3ffj
/m/0c3ffj
Tim LaHaye
1995-12-31
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/0d6gr": "Reference", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/026ny": "Dystopia"}
a 1
among 1
an 1
and 3
answers 1
are 1
as 2
attracts 1
barnes 1
begin 2
bruce 1
buck 1
but 1
cameron 1
carpathia 1
charming 1
chloe 1
daughter 1
disappearances 1
discover 1
during 1
families 1
followers 1
follows 1
for 1
frantic 1
friends 1
happened 1
has 2
his 1
journalist 1
meanwhile 1
millions 2
named 1
nicolae 1
of 3
overnight 1
pastor 1
people 1
pilot 1
place 2
politician 1
quickly 1
rapture 2
rayford 1
romanian 1
search 1
seemingly 1
steele 2
story 1
suddenly 1
survivors 1
taken 1
takes 1
that 1
the 4
their 2
them 1
to 2
unknown 1
vanish 1
well 1
what 1
who 2
williams 1
young 1
