5283465
/m/0dch98
/m/0dch98
Margaret Haddix
1995
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction", "/m/026ny": "Dystopia"}
13yearold 1
16 3
1840 1
1840s 2
1th 1
a 17
able 2
about 2
actual 1
actually 2
advancements 1
after 2
aid 1
allowed 2
almost 2
among 1
and 12
any 1
apartment 2
are 2
area 1
arrested 1
arrives 1
as 1
at 2
attempts 2
attend 1
attraction 2
authorities 1
awakens 1
be 1
because 1
been 1
before 1
believes 1
brought 1
building 1
business 1
but 3
by 1
can 1
capitol 1
careful 1
caught 1
causes 1
century 1
chicken 1
children 1
clifton 14
close 1
closes 1
conference 2
confused 1
convince 1
convinces 1
create 1
creator 1
cure 1
danger 1
didnt 1
died 1
diphtheria 3
disagreed 1
discovers 1
disease 1
diseases 1
drug 1
due 1
during 1
escape 1
escapes 1
explain 2
faints 1
father 1
few 1
finds 2
food 1
for 1
frank 2
fried 1
from 4
gene 1
gets 2
girl 1
guards 2
had 2
has 1
have 3
having 1
he 1
her 7
him 2
his 3
historical 1
hospital 4
however 1
human 1
in 10
indiana 2
infected 1
is 9
isaac 1
it 2
jeans 1
jessie 13
kentucky 1
keyser 1
kfc 1
kill 1
knows 1
learns 1
leave 1
leaves 2
left 1
life 1
live 1
local 1
loses 1
lyle 2
make 1
man 1
manages 1
media 1
medicine 1
meeting 1
members 1
met 1
miles 3
modern 1
money 1
mother 2
mr 1
much 1
neeley 5
news 2
newspapers 1
no 1
not 3
of 15
often 1
on 2
one 1
other 1
others 2
out 2
outbreak 2
outside 1
overhears 1
overnight 1
package 1
pair 1
parents 1
partner 1
people 1
person 1
pool 1
put 1
radio 1
real 1
realize 1
really 1
replica 1
resist 1
restroom 1
retrieve 1
returns 1
revealed 1
reveals 1
room 1
saying 1
scientist 1
secretly 1
sends 1
several 1
she 12
situation 1
six 1
so 1
stations 1
stays 1
steps 1
still 1
stronger 1
sure 1
talking 1
technological 1
that 11
the 26
their 1
there 1
they 2
those 1
through 1
to 21
too 1
tourist 3
try 1
tshirt 1
underground 1
until 1
use 1
village 9
villagewide 1
visit 1
wanting 1
was 2
waverly 1
were 1
when 1
where 2
which 1
who 2
window 1
with 3
without 1
world 2
year 1
