13065312
/m/02z55c9
/m/02z55c9
Meg Rosoff
2007-08-30
162 1
a 9
abandoned 1
able 1
actually 1
admires 1
adults 1
after 3
afternoons 1
again 1
alone 1
an 2
and 15
anglian 1
aptitude 1
are 1
arriving 1
as 2
at 3
away 1
beachside 1
becomes 1
becoming 1
before 1
begins 1
being 1
boarding 1
book 1
both 2
boy 3
but 2
by 2
calls 1
can 1
coast 1
compares 1
crosscountry 1
discovered 2
dislike 1
does 1
dream 1
during 1
east 1
easter 1
emergency 1
enigmatic 1
envies 1
eventually 1
expelled 1
fever 1
finds 2
finn 9
firstperson 1
fishing 1
for 2
fourteen 1
framed 1
friend 1
friendship 1
frightened 1
from 2
girl 1
given 1
glandular 1
great 1
grim 1
had 1
has 2
have 1
he 11
hilary 5
him 2
himself 2
his 3
holidays 1
hospital 1
ideal 1
ill 1
in 5
innocent 1
institutions 1
interest 1
is 6
it 2
later 1
leaves 1
lies 1
life 2
lives 1
look 1
love 1
man 1
many 1
market 1
may 1
meets 1
misunderstand 1
narrative 1
nature 1
no 2
not 1
novel 1
of 4
old 1
on 2
one 1
only 1
opens 1
other 1
parents 1
particularly 1
previous 1
prison 1
protagonist 1
pupils 1
realizes 2
recalling 1
reminiscence 1
returns 1
run 1
runs 1
school 6
schoolboys 1
see 1
services 1
several 1
shack 4
silent 1
sixteenyearold 1
slacking 1
so 1
some 1
spend 1
sports 1
spread 1
stay 1
stays 1
study 1
suspects 1
sustains 1
teachers 1
than 1
that 2
the 18
their 1
then 1
there 1
they 1
thinks 1
through 1
to 7
together 1
tries 1
twice 1
two 1
unbearable 1
visit 2
weeks 1
when 1
which 1
while 2
who 1
with 1
working 1
written 1
year 1
years 2
younger 1
