34072748
/m/0hr4p88
/m/0hr4p88


{"/m/017fp": "Biography"}
150s 2
a 28
ability 4
able 1
about 1
according 2
across 1
actually 1
addition 1
adolescence 1
adventures 1
afflicted 1
after 3
afterwards 1
against 1
age 1
agencies 1
agenda 2
albert 3
aloof 1
also 8
although 1
altruist 1
america 2
american 4
americans 2
an 5
analyzes 1
and 21
anthony 1
anticommunist 4
apparent 1
appeared 2
are 3
as 10
aspects 1
assigned 1
assume 1
at 2
attention 1
attitude 1
author 1
aware 1
bachelor 1
baptiste 1
barriers 1
be 1
became 2
because 2
becomes 1
been 2
began 1
begins 1
being 1
bestselling 1
between 2
body 1
book 4
bosses 1
both 2
briefly 1
british 1
brotherhood 1
but 1
by 7
called 1
career 1
catholic 7
celebrity 1
celebritysaint 1
changed 1
chapters 1
child 1
childhood 2
christ 1
church 1
churchill 1
cia 2
claimed 1
claims 4
classmate 1
classmates 2
cocky 1
cold 2
college 1
colonialism 1
committee 1
commonly 1
communist 1
component 1
comprised 1
concludes 1
conducted 1
connect 1
connected 1
connection 1
constructs 1
contact 1
contemporary 2
continue 1
contrast 1
contrasted 1
conventional 1
created 1
crucial 1
cultural 1
culture 1
death 1
deliver 1
delves 2
democracy 1
demonstrated 1
describe 1
described 1
designed 1
detail 1
detested 1
deviated 1
did 1
diem 1
different 1
digest 1
dinh 1
discharged 1
discussed 2
discusses 6
discussing 1
diseases 1
doctor 1
does 1
dooley 28
dooleys 19
dr 1
due 1
early 1
earnest 1
earning 1
edward 2
efforts 1
emerging 1
emphasized 3
endeavors 1
evidence 1
evil 1
explaining 1
expulsion 1
extraordinary 1
facilitate 1
fact 1
facts 1
fail 1
faith 1
familiar 1
fan 1
felt 1
few 1
figures 1
finally 1
find 1
first 2
fisher 17
follows 1
for 7
forces 1
fostered 1
four 1
freedom 1
french 1
from 11
gallagher 2
ghetto 1
giving 2
glorify 1
government 1
greater 1
grew 1
groupings 1
guarding 1
guy 1
had 4
harrington 2
have 2
he 9
heavily 1
helped 1
helps 1
her 1
here 2
him 2
himself 3
his 16
homosexual 1
homosexuality 1
hope 1
how 11
however 1
humanitarianism 1
humanitarians 1
hundred 1
ideal 1
ideas 1
if 1
iii 1
iiis 1
impact 1
imperialists 1
impression 1
in 18
increasingly 1
individual 1
information 1
initiative 1
inspired 1
international 1
into 5
introduces 1
irish 1
is 4
it 1
j 1
jean 1
john 1
joined 1
journalists 4
jungle 1
key 1
kingston 2
lansdale 2
lansdales 2
laos 6
large 1
late 1
learned 1
led 1
lederer 1
legacy 1
life 1
like 2
lived 1
made 1
maiden 1
mainstream 1
maintaining 1
make 2
makes 1
market 2
marketed 1
media 1
medical 4
medicine 1
melanoma 2
melodic 1
mention 1
mentioned 1
michael 1
military 3
minh 1
mischievous 1
mission 1
missionary 1
mo 1
mobilized 1
modern 2
monitored 1
more 1
motivation 1
motivations 1
movement 1
music 1
name 1
named 1
narrating 1
nature 1
navy 2
new 1
ngo 1
nicely 1
nonconformist 1
not 1
noted 1
numbers 1
objective 1
occupy 1
of 18
offering 1
officer 3
on 4
one 2
operation 7
opportunity 1
opposite 1
other 1
out 3
overthrow 1
paradoxically 1
part 1
partnerships 1
passage 1
pawn 1
people 4
periodical 1
person 2
personality 1
played 1
pleasant 1
pluralist 1
pointing 2
points 2
political 3
politics 2
pop 1
pope 1
portrayed 1
position 1
prayer 1
presents 2
preventive 1
princes 1
principal 1
process 1
prodigious 1
profound 1
prominent 1
propagandize 1
propose 1
proposes 1
protected 1
protestant 1
public 1
published 1
pursuing 1
quiet 1
rake 1
reader 1
recovery 1
refugee 1
refugees 1
regarding 1
regime 1
relations 1
relationship 2
remained 1
reprinted 1
rescue 1
resembled 2
resonated 1
role 1
roman 1
saigon 1
school 1
schweitzer 2
schweitzers 1
second 1
secular 3
secure 1
seem 1
selfless 2
selfmarketing 4
seventhmost 1
sex 1
shape 1
shaped 1
shaping 1
she 1
shenanigans 1
shielding 1
shift 1
should 1
showbiz 2
showoff 1
so 1
soldiers 1
song 1
songs 1
south 2
sowhat 1
special 1
spiritual 1
stage 1
status 1
story 1
strongly 1
student 1
successful 1
such 1
support 1
surface 1
sync 1
teenager 1
teresa 1
term 1
than 1
thanh 1
that 19
the 37
their 2
them 1
then 7
theology 1
there 1
thereby 1
these 1
they 3
this 5
thomas 2
through 2
time 1
to 26
tom 2
towards 1
transitions 1
triage 1
trio 1
trios 1
trying 1
tunes 1
two 2
under 1
undisciplined 1
up 1
us 1
use 2
used 1
uses 1
ussouth 1
values 1
viet 1
vietnam 7
vietnamese 1
wanted 1
war 2
was 11
wellknown 1
went 1
were 2
when 3
which 1
while 2
who 6
whom 1
william 1
winston 1
with 9
work 7
world 3
would 1
writes 1
xxiii 1
yankee 1
years 1
