5031446
/m/0c_pkg
/m/0c_pkg
Robert Olen Butler
1992-03-15
{"/m/02xlf": "Fiction"}
80 1
a 43
able 1
about 9
access 1
adapt 1
adapted 1
affair 1
afflicts 1
after 5
again 1
age 1
airport 1
all 1
alzheimer 1
america 1
american 4
americanborn 1
americanized 1
an 7
ancestor 1
ancient 1
and 32
angrily 1
apology 1
apple 1
are 4
aroused 1
arrange 1
arranges 1
arrived 1
as 13
assertion 1
at 3
australian 4
back 1
background 1
backgrounds 1
barriers 1
be 2
beautiful 2
because 2
becomes 1
begin 1
beings 1
belonged 1
between 2
bill 1
bm 1
boat 1
bonding 1
both 1
boy 1
bride 1
bring 1
bringing 1
brought 1
but 2
by 9
cares 1
catholic 1
chaperoned 1
chi 1
child 2
chinese 1
chinh 3
christmas 1
claims 1
clearing 2
cohen 1
collection 1
come 2
common 1
communist 3
communists 1
compounded 1
concerning 1
conflict 1
confucian 1
considers 1
constricting 1
consults 1
continue 1
could 2
country 1
couple 2
cousin 1
crickets 2
cultural 1
date 1
daughter 4
dead 1
deal 2
death 2
deeply 2
delta 1
demands 1
despite 2
dialogues 1
different 1
direct 1
disaster 1
discovering 1
discovers 1
disease 1
disgusted 1
distance 1
disturbed 1
divorces 1
drives 1
during 2
dying 1
eager 1
easily 1
eat 1
educate 1
eileen 1
ended 1
escaped 1
establish 1
eve 1
eventually 1
ever 1
experiences 2
expressed 1
family 3
father 5
favorite 1
fear 1
feathers 1
femininity 1
fight 1
films 1
final 1
first 1
flirting 1
focuses 1
fontenot 1
for 7
forces 2
forget 1
form 1
former 2
frank 4
from 9
further 1
gabrielle 1
game 1
gendered 1
ghost 1
gi 1
giu 2
gives 2
go 1
good 2
government 1
grandfather 7
grandmother 1
great 1
green 5
grown 1
grows 1
had 5
happy 1
has 4
have 2
having 2
he 15
heavily 1
her 22
him 5
himself 1
his 27
hng 1
ho 1
home 2
homes 1
honorable 1
hostilities 1
how 2
husband 1
husbands 1
immoral 1
in 22
involves 1
is 29
it 4
jealousy 1
jewish 1
joins 1
kills 2
knh 3
knowledge 1
knows 2
land 2
language 2
later 1
lawyer 1
learned 1
learns 1
leave 1
leaves 1
letters 4
life 2
like 1
little 2
lived 1
longest 1
longing 1
longs 1
looking 1
looks 1
lost 1
louisiana 1
love 4
loves 1
make 2
man 2
manifested 1
massacre 1
meal 1
meet 1
meets 1
mekong 1
melancholy 1
members 1
men 2
mexico 1
midautumn 2
minh 1
misogyny 1
miss 1
missiles 1
modern 1
more 2
mother 1
mothers 1
mountain 1
moving 1
mr 9
much 1
must 1
my 1
mysticism 1
named 6
narrated 2
narrator 5
neck 1
new 4
newly 1
nicknamed 1
no 1
noi 1
north 1
not 1
observed 1
of 26
old 1
on 4
onto 1
opening 1
or 1
order 1
orleans 1
out 1
outsiders 1
overwhelmed 1
own 2
owner 1
pages 1
parent 1
parrot 2
perspective 2
pick 1
pictures 1
plucking 1
poetically 1
politics 1
pornographic 1
pornography 1
practitioner 1
proposes 1
prostitute 2
puerto 1
react 1
realize 1
realizes 2
reappears 1
recollection 1
recounts 1
reference 1
refugees 1
relationship 1
release 1
reminder 1
reminds 1
respective 1
restaurant 2
roles 1
saddened 1
saves 1
scent 1
screening 1
secretive 1
seeing 1
seems 2
selfworth 1
set 1
several 1
shares 1
she 9
shocked 1
similar 1
simultaneously 1
situation 1
slowly 1
snow 2
soldier 2
soldiers 1
some 1
sometimes 1
son 5
speculates 1
spirit 1
spy 3
state 1
states 4
station 1
stories 1
story 12
strange 2
struggled 1
subtle 1
supernatural 1
suspects 1
symbolic 1
takeaway 1
takes 1
talk 1
talking 1
talks 1
taught 1
teach 1
teenager 1
tells 1
tend 1
terms 1
that 12
the 51
their 4
them 1
then 1
therefore 1
they 6
things 1
this 3
thiu 5
those 1
thp 3
ths 1
to 33
told 2
translator 1
tries 2
trip 2
true 1
uninterested 1
united 5
unsure 1
up 4
us 1
vacation 1
vallarta 1
values 3
very 1
veteran 2
veterans 1
vietnam 11
vietnamese 10
vinh 2
vinhs 1
vision 1
voodoo 1
waitress 1
waits 1
war 3
was 6
way 1
when 5
where 1
whether 1
which 5
while 1
who 14
whom 2
why 1
wife 10
with 10
without 1
woman 6
worked 1
works 1
worries 1
worship 2
wringing 1
written 1
