5774480
/m/0f3xj0
/m/0f3xj0
Maurice Sendak
1970
a 8
after 1
airplane 1
all 1
an 1
and 4
as 1
back 1
bakers 2
baking 3
batter 5
bed 2
before 1
begins 1
beyond 1
bottle 3
boy 3
bread 1
breaking 1
briefly 1
buried 1
by 1
cake 2
called 1
can 1
cascade 1
closely 1
clothes 1
constructs 1
contains 1
covered 1
covering 1
crows 1
dawn 1
deficiency 1
disappear 1
disintegrates 1
disturbed 1
dives 1
dough 1
down 3
drifts 1
emerges 1
everything 1
experience 1
falls 1
finish 1
float 1
floor 1
fly 1
for 3
from 2
giant 1
gigantic 1
happy 1
hardy 1
he 8
his 5
identical 1
in 6
ingredient 1
inside 1
into 3
is 6
it 1
joyfully 1
just 1
kitchen 1
like 1
liquid 1
little 1
lower 1
magically 1
make 1
making 1
mass 1
memory 1
mickey 4
milk 3
mix 1
mixing 1
morning 2
mouth 1
naked 1
named 1
neck 1
needed 1
night 1
noise 1
normal 1
not 1
now 1
of 5
oliver 1
on 1
opening 1
or 1
out 1
oven 1
pan 2
placed 1
pot 1
pours 1
prepare 1
protesting 1
reaching 1
resemble 1
return 1
revels 1
rooster 1
sleeps 1
slides 1
so 1
suddenly 1
surreal 1
that 3
the 21
there 1
three 1
to 7
unaware 1
unconcerned 1
up 1
upon 1
when 1
while 1
who 2
with 1
world 1
young 1
