2299941
/m/0720nz
/m/0720nz
Agatha Christie

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 20
ability 1
about 2
address 1
afterwards 2
again 1
agreement 1
agrees 1
ally 1
also 2
an 4
and 12
another 1
apparatus 1
apparent 1
apparently 1
appear 1
are 2
area 2
ariadne 2
arranges 1
assassination 1
at 7
atrophy 1
attempt 1
be 6
becomes 1
been 2
before 1
begins 3
begun 1
behind 1
between 1
birmingham 1
blackmagic 1
book 1
both 1
bradley 1
brains 1
brandon 2
breaking 1
but 2
by 6
called 3
calthrop 1
can 1
causes 1
certain 1
channel 1
chelsea 1
claims 1
classified 1
clumsy 1
coffeebar 1
committed 1
connected 1
connection 1
contacts 2
contains 1
converted 1
cooperation 1
corrigan 2
cosmetics 1
could 1
cousin 1
crc 2
customers 1
dane 1
davis 1
dead 1
deaths 1
decline 1
deeping 1
delafontaine 1
describes 1
desires 1
desperation 1
developed 1
die 1
died 2
dinner 1
disability 1
disaffected 1
discusses 1
distance 1
does 2
draws 1
due 1
during 3
easily 1
easterbrook 1
eileen 1
electrical 1
element 1
encounters 1
end 1
entirely 1
events 1
evil 1
explanation 1
faked 1
falls 1
famous 1
father 2
fear 1
fears 1
fete 1
fight 2
final 1
first 1
following 2
foods 1
for 3
found 1
friend 2
from 6
ginger 5
girl 2
girlfriend 1
girls 1
given 1
godmother 1
goes 1
gorman 2
grey 1
growing 1
had 1
hair 4
happened 1
has 10
have 2
having 1
he 14
her 5
hero 1
heskethdubois 2
him 4
his 8
horse 9
house 1
houses 1
however 1
identification 1
ill 1
illness 1
implicate 1
in 12
incapable 1
includes 1
inhabited 1
inn 1
inspector 1
interviewed 1
investigation 1
is 6
it 4
its 1
key 1
kill 2
kind 1
lady 2
later 1
law 1
lawyer 1
learns 4
led 1
legs 1
lejeune 1
list 3
lost 1
made 1
makes 1
malignant 1
man 3
mark 12
mary 1
may 1
means 1
medicines 1
meets 2
mentioned 1
mentions 2
met 1
misdirection 1
mistake 1
modern 1
more 1
moreover 1
mr 2
mrs 4
much 1
murder 2
murders 1
mystery 1
named 1
names 3
narrative 1
narrator 1
natural 1
no 2
nonetheless 1
not 3
novel 1
now 3
obtains 1
of 23
old 1
oliver 3
on 1
one 1
ones 1
or 1
order 1
organisation 4
organised 1
osbourne 4
other 1
out 3
outlines 1
outlining 1
own 2
pale 9
part 1
people 1
piece 1
place 1
played 1
poisoned 1
poisoning 1
police 3
polio 1
poppy 3
principal 1
products 1
proprietary 1
provide 1
pulled 1
pulls 1
rapidly 1
reactions 1
really 1
receive 1
recently 1
recognises 1
replacing 1
research 1
resigned 1
retrospect 1
revealed 1
reveals 1
ritual 1
roots 1
same 2
satanic 1
say 2
scared 1
second 1
seems 2
seen 2
sees 1
seriously 1
service 1
she 7
shed 1
shoe 1
shortly 3
solicit 1
some 3
someone 1
something 1
soon 1
sort 1
spirit 1
standing 1
stirling 1
stop 1
strict 1
substantial 1
successfully 1
suddenly 1
suffered 1
suggest 1
summary 1
support 1
surgeon 1
survey 1
surveyed 1
symptoms 1
take 1
taking 1
targeted 1
thallium 1
that 13
the 43
there 1
these 1
they 1
thing 1
this 2
thomasina 3
those 1
three 1
through 1
thyrza 3
to 22
tuckerton 2
turns 1
two 1
used 1
venables 5
vicar 1
victim 1
victims 1
village 1
visiting 1
visits 1
was 3
ways 1
wealth 1
were 1
what 2
whatever 1
wheelchair 1
wheelchairusing 1
when 5
where 2
which 4
while 1
who 9
whom 1
wife 2
will 2
willing 1
witches 1
with 8
without 1
witness 1
witnesses 1
worked 1
would 2
writer 1
zachariah 1
