421290
/m/026h6d
/m/026h6d
Barry Hughart
1988
750 1
a 4
abbot 1
about 1
across 1
and 5
been 1
calls 1
china 1
dead 1
duo 1
for 1
from 1
halfbarbarian 1
has 1
have 1
hell 1
humble 1
in 1
incongruous 1
inconsequential 1
infamous 1
into 1
investigate 1
its 1
itself 1
killing 1
king 1
lands 1
laughing 1
li 1
library 1
liu 1
manuscript 1
master 1
monastery 1
monk 1
mystery 1
number 1
of 5
on 1
others 1
out 1
outwit 1
ox 1
prince 1
saunter 1
seemingly 1
shengwho 1
solve 1
soon 1
sorrows 1
suspicion 1
ten 1
the 6
theft 1
this 1
to 3
travel 1
upon 1
valley 1
will 1
years 1
