14368738
/m/03d1tmr
/m/03d1tmr
Jack Vance
1973
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
12000 1
a 19
accepts 1
actually 1
advantage 1
after 3
afterwards 1
again 1
agrees 2
akadie 6
already 2
also 2
ambushing 1
an 6
and 17
apparently 2
are 5
argument 1
aristocrat 1
arranged 1
as 6
assigned 1
attached 1
away 3
back 2
bandolio 7
be 4
been 1
before 2
being 3
believes 1
believing 1
better 1
boat 1
born 1
both 1
bring 1
brother 2
but 7
by 4
came 1
camp 1
can 1
cannot 1
captain 2
captures 1
casagave 2
challenges 1
choice 1
clothing 2
collect 1
come 1
connatic 2
consultant 1
convinces 1
could 1
courier 1
curiosity 1
darker 1
decoy 1
deduces 1
deliver 1
demanded 1
derailed 1
deserted 1
diligent 1
disconsolate 1
disgust 1
disgusted 1
distraught 1
duissane 7
earn 1
else 1
encounters 1
enormous 1
escapes 1
evenly 1
everbetter 1
everyone 1
evicted 1
evicts 1
excellent 1
except 1
exceptionally 1
extremely 1
falls 2
family 3
fears 1
fellow 1
final 1
finally 2
finds 3
flees 1
follows 1
for 8
force 1
fortunately 1
found 2
from 1
full 1
funds 1
gensifer 8
gets 1
gives 1
glay 5
gleefully 1
glinnes 25
go 1
gold 1
golden 1
gone 1
good 1
gorgons 3
government 1
grasp 1
grasping 1
grateful 1
groom 1
had 4
halfjokingly 1
happen 1
has 6
he 9
her 4
hidden 1
hide 1
hideout 1
him 7
himself 1
his 6
hold 1
holdings 1
hour 1
however 5
hulden 2
hundred 2
hussade 1
identifies 1
identity 1
immediately 1
important 1
in 9
inept 1
inside 2
insists 1
into 1
investigation 1
invited 1
is 15
island 3
issue 1
it 4
joins 1
journalist 1
kidnapping 1
kidnaps 1
kill 1
killed 1
land 2
last 1
later 1
learns 2
leaves 3
leaving 1
life 2
live 2
local 1
locker 1
lord 3
lost 1
love 1
lute 2
luxury 1
man 3
many 1
mass 1
match 3
matched 1
matches 1
member 1
mentor 1
merlings 2
military 1
missing 1
money 5
more 1
mother 1
motivation 1
moves 1
must 1
named 1
needs 1
new 2
night 1
no 1
not 2
notices 1
notorious 1
object 1
of 14
official 1
offworld 2
offworlder 1
older 2
on 3
once 1
one 2
onto 1
opened 1
opponent 1
opportunity 1
opposing 1
other 2
out 6
over 1
owner 1
ozols 2
package 1
paid 1
papers 2
partner 1
perhaps 1
picks 1
pirate 1
plans 1
play 2
players 1
playing 1
prepared 1
proceeds 1
professional 2
pulled 1
purposes 1
pursue 1
quit 1
ransom 6
reality 1
recruited 1
recruiting 1
reluctantly 1
remaining 1
rescue 1
rescued 1
respect 1
rest 1
resumes 1
retired 1
returns 1
revelation 1
revenge 1
rhyl 1
ring 3
rival 1
robbed 1
robbing 1
runs 1
sagmondo 1
savings 1
seeing 1
seizes 1
selfstyled 1
service 1
several 2
she 1
sheirl 6
sheirls 1
shermatz 2
shira 1
shortly 1
show 1
since 1
so 1
sold 1
somewhatimpoverished 1
space 1
spectators 2
spends 1
spent 1
stadium 1
starmenter 2
steal 1
still 1
strengths 1
strong 2
strongly 1
successful 1
suggests 1
sullen 1
surprisingly 1
suspect 1
suspects 1
take 3
taken 1
tanchineros 4
team 8
teams 2
ten 1
than 1
that 10
the 58
their 2
there 1
they 3
this 2
three 1
through 1
time 1
to 23
touring 1
trevanyi 2
trullion 1
tumbles 1
turns 2
twin 1
unconscious 1
under 1
unexpectedly 1
unmask 1
unveils 1
up 3
used 1
vanity 1
versa 1
vice 1
victim 1
view 1
virgin 1
wakes 1
wandering 1
wanders 1
wants 1
was 3
water 1
weakness 1
weaknesses 1
wealthiest 1
wedding 1
well 1
whelm 2
when 4
while 2
who 2
whole 1
whose 1
will 1
winning 1
with 6
women 1
worthless 1
years 1
