11979481
/m/02r_kb_
/m/02r_kb_
Joan Aiken

a 13
about 2
absence 1
accept 1
adopt 1
adventure 1
adventurous 1
agree 1
alert 1
all 2
allies 1
almost 1
also 3
although 1
an 2
and 30
anticipate 1
are 4
arrest 1
arrival 1
arrive 1
arrived 1
arrives 1
at 2
aunt 2
back 1
backbreaking 1
become 1
bees 1
begins 1
beloved 1
better 1
blissful 1
bonnie 10
boy 1
brisket 3
but 6
by 5
canary 1
care 1
catch 1
cave 1
charges 1
charity 1
chase 2
chased 1
clever 1
climate 1
climates 1
clothes 1
coming 1
company 1
confesses 1
confronted 1
copies 1
country 1
countryside 1
cousin 3
cousins 1
crimes 1
daughter 2
dead 1
death 1
defy 1
delights 1
depredations 1
diana 2
discover 1
dismal 1
dismissing 1
distant 1
doctor 2
downstairs 1
dreadful 1
due 3
eager 1
embark 2
encounters 1
ends 1
entire 1
escape 2
especially 1
even 2
everpresent 1
existence 1
expedition 1
faithful 1
family 1
fed 1
foils 1
footman 1
for 3
fourth 1
friends 2
frigid 1
from 2
geese 2
genteel 1
girls 6
goosecart 1
gowns 1
grand 1
green 4
grimshaw 4
grows 1
has 1
have 1
having 1
health 3
help 2
her 6
hints 1
his 2
holiday 1
home 1
horrid 2
house 1
household 2
iceskating 1
idiosyncratic 1
ill 2
immediately 2
impoverished 1
in 11
industrial 1
instant 1
intentionally 1
into 3
is 9
islands 1
it 1
james 1
jane 3
journey 1
keep 1
key 1
kind 1
kindly 1
lady 4
last 1
lawyer 1
learn 1
leaving 1
legal 1
letitia 1
life 1
lived 1
lives 1
local 1
lodging 1
london 2
long 1
loving 1
maid 1
man 1
meals 1
mediterranean 1
menace 1
miss 6
moment 1
months 1
more 1
most 1
mr 4
mrs 3
must 1
mysterious 1
near 1
nearby 1
nervous 1
newly 1
night 1
not 2
note 1
nowhumbled 1
nurse 1
of 8
older 1
ominous 1
on 6
once 1
orphan 1
orphanage 1
orphanageworkhouse 1
over 1
overhear 1
own 1
papers 1
parents 5
pattern 2
perhaps 1
plan 1
plot 2
police 2
post 1
povertyinduced 1
pretentious 1
proud 1
provided 1
quickly 1
ragged 1
raising 1
realizes 1
remote 1
resourceful 1
restored 1
return 2
revealing 1
ride 1
rights 1
robust 1
rooms 1
run 1
scant 1
scary 1
scheme 1
school 1
secret 1
sell 1
sends 1
sensible 1
servants 1
set 2
setting 1
she 2
ship 3
show 1
simon 5
sinking 1
sir 4
sister 1
slighcarp 7
sneaking 1
snowy 1
some 1
soon 2
spies 1
spoiled 1
starvation 1
stopped 1
story 1
stronger 1
sunk 1
sunny 1
survived 1
sylvia 7
takes 1
taking 1
tampering 1
than 1
thanks 2
that 4
the 45
their 5
them 1
they 8
this 1
those 1
though 1
threatening 1
to 21
together 1
too 1
touring 1
tow 1
town 2
train 3
trick 1
trio 1
twomonth 1
untrustworthy 1
up 1
villainy 1
warmer 2
weakens 1
wearing 1
well 1
when 1
where 1
which 1
who 5
willoughby 6
winter 1
with 7
without 1
wolves 2
woodcrafty 1
work 1
