5424350
/m/0dl8j1
/m/0dl8j1
Leslie Charteris
1931
{"/m/02n4kr": "Mystery"}
a 13
about 1
above 1
action 1
actions 1
add 1
adventure 1
after 1
agent 2
allegedly 1
allowing 1
almost 1
also 2
ambushes 1
american 1
among 1
an 4
and 9
angels 4
any 2
apparently 1
as 7
be 3
because 1
become 1
been 1
begins 1
being 1
believed 1
blames 1
book 3
books 1
both 1
but 2
by 2
called 1
calling 1
card 1
cause 1
character 1
claud 1
colleagues 1
collection 1
comes 1
compelled 1
conceived 1
condone 1
connected 1
consisting 1
continues 1
convicted 1
could 1
crime 1
crimes 1
criminal 1
death 2
details 1
direct 1
discovering 1
dissolving 1
divided 1
doing 1
doom 4
dragnets 1
drawing 1
effect 1
end 1
ends 1
epilogue 1
escape 1
especially 1
eustace 1
extent 1
father 4
felons 1
female 1
figure 2
final 1
finds 1
first 4
for 6
framing 2
from 1
girlfriend 1
go 1
had 1
halo 1
has 2
have 3
havoc 1
he 3
help 1
helping 1
her 6
him 1
himself 1
his 4
holm 1
if 1
image 1
in 10
including 2
inspector 1
into 1
investigate 1
investigating 1
is 9
itself 1
jill 1
just 1
kill 1
kindred 1
lady 1
law 1
leaving 1
living 1
made 1
makes 2
making 1
man 2
meanwhile 1
men 1
mentioned 1
metafictional 1
mission 1
murder 2
must 1
needs 1
no 1
not 1
notable 1
novel 4
novellas 1
now 2
of 25
omission 1
omnibus 1
on 2
one 2
originally 1
other 1
pardoned 1
paris 2
part 2
partners 1
parts 1
past 2
patricia 1
perceived 1
police 2
possibly 1
preceded 1
pursue 1
pursuing 1
pursuit 2
quest 1
reactivated 1
receives 1
recruit 1
reference 2
references 2
reports 1
responsible 2
resulting 1
ring 1
run 1
saint 4
scotland 4
search 1
second 2
seen 1
sees 1
segment 2
series 1
several 1
she 2
side 1
simon 2
so 1
some 1
specializes 1
spirit 1
status 1
stick 1
storybook 1
subsequently 1
such 1
suitable 1
teal 1
templar 7
that 3
the 34
they 1
things 1
third 2
this 3
three 1
title 1
to 16
traditional 1
trelawney 9
trilogy 1
two 1
ultimately 1
unexpected 2
wanted 1
was 2
when 2
which 4
who 2
willing 1
with 2
within 2
woman 1
working 1
wreak 1
wrong 1
yard 4
years 1
young 1
