14222404
/m/03cy879
/m/03cy879
John Brosnan
1984
8 1
a 35
act 1
after 3
alive 2
already 1
altispinax 1
an 5
and 12
animal 1
animals 1
are 2
areas 1
army 1
arrives 1
as 5
aside 1
at 5
attack 1
attacked 2
attacks 2
attempt 1
authorities 1
baby 2
badly 1
basis 1
be 1
been 2
before 1
begin 2
believed 1
blood 1
boat 1
boy 2
brachiosaurus 1
british 1
bull 1
but 3
by 8
called 1
cambridgeshire 1
captured 1
captures 1
carnage 1
carnivorous 1
caught 1
chicken 1
chickens 1
circulates 1
cleansed 1
commit 1
concealed 1
conclusion 1
confronts 1
considers 1
could 1
covering 1
cows 1
creature 2
darren 1
daughter 1
david 1
day 1
days 1
dead 2
deaths 1
deinonychus 2
destroys 1
devoured 1
different 1
dilophosaurus 1
dinosaur 4
dinosaurs 5
discover 1
dna 2
dying 1
earlier 1
eccentric 1
england 1
enraged 1
enters 1
escape 2
escaped 3
establishment 1
eventually 2
exgirlfriend 1
explains 1
family 1
far 1
farm 1
farmer 1
farmhouse 1
few 1
filled 1
find 2
flooding 1
flourish 1
footprints 1
for 1
fossils 1
found 1
fragments 1
from 2
frustrated 1
fv101 1
gardens 1
gets 1
given 1
goes 2
had 2
has 3
hatched 1
he 7
helicopter 1
helping 1
her 7
herd 1
herself 1
him 1
his 6
home 1
horse 1
identified 1
imprisoned 1
imprisons 1
in 10
including 1
inevitable 1
infiltrating 1
injured 1
insistence 1
intends 1
interview 1
interviews 1
invading 1
investigates 1
is 10
it 1
jenny 3
keeper 1
killed 2
killer 3
killing 1
kills 2
lady 2
later 1
leaving 2
left 1
let 1
loose 1
lord 1
lorry 1
maddened 1
make 1
many 1
meanwhile 1
megalosaurus 2
member 1
men 2
mostly 1
moves 1
mysterious 2
named 2
newly 1
next 1
night 1
not 2
notices 2
novel 1
nymphomaniac 1
of 9
old 1
on 3
one 2
only 6
opens 1
other 2
over 1
parliament 1
pascal 10
penward 9
penwards 1
people 1
permanently 1
pitchfork 1
place 1
pleasure 1
plesiosaurus 1
present 1
private 2
promising 1
pub 1
quarters 1
recreated 1
relationship 1
releases 1
remote 1
reporter 2
reports 1
rescued 1
restructuring 1
reveals 1
room 1
run 1
rural 1
saying 1
scene 1
scolosaurus 1
scorpion 1
seeming 1
sees 1
seriously 1
set 1
sexual 1
sexually 1
she 1
siberian 1
sir 2
soon 1
species 1
spread 1
stable 1
stained 1
stamper 1
story 2
studying 1
survivor 1
taken 1
takes 1
tarbosaurus 2
that 9
the 33
their 1
them 1
then 1
there 2
they 2
third 1
thoroughly 1
tiger 2
to 11
tour 1
towing 1
trying 1
two 1
tyrannosaurs 1
tyrannosauruses 1
unsuccessfully 1
until 1
using 1
variety 1
village 1
visit 1
war 1
was 2
what 1
where 3
which 4
who 2
wife 4
with 4
world 2
wounded 1
year 1
zoo 4
