20675409
/m/0523yxw
/m/0523yxw
Rudy Rucker
1982

a 4
accessible 1
account 1
an 1
and 4
appendix 1
approached 1
are 1
artificial 1
as 3
author 1
axioms 1
background 1
being 1
book 1
brief 1
conceivability 1
concepts 1
contact 1
contains 2
conventionally 1
cosmological 1
expositions 2
few 1
from 1
gdel 2
high 1
human 1
include 1
incompleteness 1
infinity 2
intelligence 1
is 2
known 1
kurt 1
material 1
mathematical 2
mathematics 1
mind 1
models 1
more 2
mystical 1
nearly 1
no 1
number 1
of 8
on 3
one 1
others 1
personal 1
popular 2
readers 1
related 1
relationship 1
research 1
school 1
set 1
some 2
strong 1
than 1
the 7
their 1
theorems 1
theory 2
there 1
these 1
to 2
topics 1
unconventional 1
variety 1
viewpoints 1
well 1
what 1
with 2
