5970467
/m/0fhb0x
/m/0fhb0x
Mercedes Lackey
1990
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 20
ability 2
able 1
about 2
accidents 1
add 1
again 1
agrees 1
ailment 1
all 2
alone 1
along 1
already 1
amber 1
ambushed 2
among 1
an 1
and 32
anyone 1
appears 1
apprentice 1
are 6
army 1
around 2
arranges 1
arrive 1
as 3
ask 1
asks 1
attack 1
attacks 1
audience 1
aunt 1
away 2
bandits 2
bard 1
bardic 1
barrier 2
be 1
beat 1
because 1
become 1
been 2
before 1
begins 1
behind 2
believe 1
block 2
blocking 1
bloodsoaked 1
bringing 1
burned 1
but 5
by 3
call 1
cares 1
change 1
collegium 1
commit 1
complementary 1
complicate 1
convince 1
cracked 1
creating 1
creature 1
dagger 2
dark 4
dead 1
death 2
deaths 2
decided 1
declare 1
defeats 1
defenses 1
delivers 1
departs 1
despair 1
deteriorated 1
determined 1
die 2
died 1
dies 2
discover 1
discovered 1
do 1
doesnt 1
down 1
during 1
dying 2
enemies 1
enemy 2
energy 1
enough 1
escapes 1
everyone 1
faces 1
falls 1
family 2
fears 1
felt 1
few 1
final 1
finally 1
find 2
finds 5
focusstonea 1
followed 1
for 10
former 1
four 1
free 1
from 3
front 1
further 1
gates 1
given 1
grief 1
group 1
guard 1
had 3
hair 1
has 7
have 4
haven 1
having 1
hawkbrothers 2
he 14
healed 1
healer 1
heart 1
help 4
her 1
heraldmage 2
heraldmages 3
heralds 1
hesitates 1
hide 1
him 5
himself 1
his 15
holy 1
home 1
homosexual 1
horse 1
hostile 1
humans 1
impossible 1
in 11
injured 2
instructed 1
intending 1
intends 2
into 1
invoke 1
is 16
it 5
its 1
join 2
just 1
karse 1
kidnapped 1
killing 1
kills 1
king 4
knowing 1
kyree 1
land 2
last 2
later 2
leareth 1
leechblade 1
life 3
lifebond 2
lifebondedthat 1
lifetime 1
like 1
link 2
listening 1
longer 1
look 1
loses 1
lost 1
love 2
lover 1
mage 6
magemade 1
mages 1
magic 2
magical 1
make 1
man 1
master 3
matters 1
may 2
meant 1
mentor 1
mentors 1
mind 1
months 1
moondance 1
more 1
mother 1
mountain 1
murders 1
music 2
must 1
mysterious 2
named 1
nation 1
nearly 3
necessary 1
negotiate 1
never 1
night 1
no 1
not 2
now 3
number 1
of 17
off 1
official 1
on 3
one 3
oneself 1
only 2
openly 1
order 1
other 2
out 1
over 2
overcomes 1
own 1
pack 1
pain 1
parents 1
pass 1
play 1
post 1
powers 1
present 1
prevent 1
prevents 1
priest 1
prince 1
protection 1
protective 1
provide 1
proving 1
psychic 1
put 1
puts 1
randale 5
rape 1
recognizes 1
reincarnation 1
relationship 1
removes 1
responsibilities 1
rest 1
rethwellan 1
return 2
returns 4
revive 1
revives 1
rogue 1
runs 1
same 1
sanity 1
savagely 1
saved 1
savil 6
see 1
sees 1
send 1
sends 1
sets 1
shavri 3
shaych 1
she 1
shows 2
side 1
sight 1
site 1
so 2
some 1
soulmates 1
speculate 1
spell 2
spends 1
spirit 1
starwind 1
stefen 19
step 1
story 1
strands 1
strength 1
strengthen 1
strike 1
such 1
sucks 1
suicide 1
suspects 1
take 2
taken 1
task 1
tayledras 1
tells 1
temporarily 1
than 1
that 7
the 33
their 2
them 4
they 6
things 1
think 2
this 3
those 1
throne 1
through 1
thrown 1
time 2
tired 1
to 30
together 2
told 1
traditional 1
trained 1
treaty 1
treven 1
tries 1
troops 1
tylendel 2
ultimate 1
unheardof 1
until 1
unusual 1
up 2
upon 1
using 2
valdemar 6
vanyel 34
vanyeland 1
very 1
victim 1
visiting 1
wanders 1
war 1
wards 1
what 1
when 4
where 1
which 2
while 2
who 4
whom 3
will 2
with 10
women 1
work 1
working 1
worse 1
would 1
yfandes 6
young 3
