9090930
/m/027xbjc
/m/027xbjc
Katherine Roberts
2003-12-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
alexis 5
all 2
and 5
are 2
as 3
at 1
attacking 1
back 1
beginning 1
best 1
chimea 1
city 1
enemies 1
enough 1
fabled 1
father 1
friend 1
gets 1
gift 3
goes 1
gold 1
halicarnassos 1
has 2
have 2
her 1
him 1
his 5
home 1
in 1
into 2
is 2
it 1
king 1
known 1
land 1
life 1
macedon 1
make 1
meets 1
of 3
old 1
on 2
other 1
people 1
pilgrimage 1
princess 1
rages 1
rampages 1
real 2
reclaim 1
reverses 1
river 2
shocked 1
spirit 1
statues 2
stepmother 2
still 2
stone 1
story 1
that 1
the 12
their 1
them 1
then 1
this 1
through 1
to 7
trouble 1
turn 1
turned 1
turns 1
wants 2
war 2
when 2
who 2
with 1
