5804023
/m/0f5s_n
/m/0f5s_n
Steven Gould

a 13
abuse 1
abused 1
abusive 2
acknowledge 1
action 1
actions 1
after 6
afterward 1
again 1
against 1
agency 1
agent 1
agents 1
agrees 1
alcoholic 2
algeria 2
all 3
almost 1
also 1
an 2
and 22
apartment 2
are 1
as 2
at 1
attack 1
attempts 1
attending 1
authorities 1
back 1
bank 1
be 1
beaten 1
become 2
before 1
begin 1
begins 1
being 4
between 1
birth 1
breaks 1
brian 1
business 1
by 10
calls 1
can 2
cannot 1
cant 1
captives 1
capture 1
captures 1
certificate 1
city 2
college 1
come 1
comforts 1
contact 1
controlling 1
cop 1
counseling 2
cox 6
crimes 2
david 21
death 1
despite 1
determined 1
dining 1
discovering 1
dodge 1
dollars 1
drives 1
effects 1
enters 2
escape 1
evening 1
eventually 1
every 1
experience 1
explained 1
failures 1
family 1
fancy 1
fates 1
father 6
few 1
find 2
finds 2
for 4
forced 2
found 1
four 1
from 2
get 3
gets 1
grab 1
grabbing 1
guilty 1
harrison 1
has 2
having 1
he 15
her 4
hijacked 1
him 5
himself 2
his 16
hostage 1
hours 1
house 1
however 1
hunting 1
husband 2
if 1
in 8
inside 1
interrupted 1
investigating 1
investigation 1
is 10
isnt 1
job 1
jumping 2
jumps 2
kill 1
later 2
learning 1
led 1
left 1
library 1
life 1
local 2
locate 1
long 1
lost 1
makes 1
manages 1
mary 4
matar 4
meets 1
millie 8
million 1
mother 2
move 1
mugged 1
murdered 1
named 1
national 1
near 1
nearly 1
neighbor 1
never 2
new 4
night 1
niles 1
nsa 2
number 1
numerous 1
of 9
office 1
oklahoma 3
on 2
one 2
only 1
or 2
order 1
origin 1
other 1
out 5
over 2
pain 1
park 1
physically 1
plane 1
play 1
plays 1
police 4
position 1
power 1
powers 1
profound 1
pursued 1
putting 1
questioned 1
rashid 1
reading 1
realizes 1
reconcile 1
relationship 1
released 1
releases 1
responsible 1
restaurants 1
return 1
returns 1
reunite 1
rice 1
robs 1
romantic 1
safe 1
saves 1
search 1
searching 1
security 2
see 1
sets 1
several 1
severely 1
she 1
similarities 1
so 1
social 1
some 1
spend 1
start 1
starts 1
states 1
stealing 1
stillwater 1
stop 1
strikes 1
suspicious 1
takes 1
teleportation 1
teleporting 1
teleports 1
terrorist 3
terrorists 1
that 3
the 23
their 1
them 2
then 3
there 1
thereby 1
they 4
this 2
those 1
threatening 1
three 1
through 1
time 2
to 25
tormentors 1
touring 1
trip 1
turns 2
ultimately 1
unable 1
unexpectedly 1
unique 1
united 1
up 1
use 1
veteran 1
vigilante 1
visits 1
vowing 1
was 1
way 1
well 1
were 1
when 4
where 1
while 3
who 1
wifebeating 1
with 2
without 1
witnessed 1
woman 1
years 1
york 4
