17429681
/m/047rn6c
/m/047rn6c
Magnus Mills
1999-09-20
a 5
agrees 1
and 3
another 1
appears 1
be 1
before 1
but 1
by 1
camping 1
campsite 1
chore 1
complex 1
disparate 1
district 1
drawn 1
each 1
escape 1
few 1
finds 1
from 1
gate 1
he 2
help 1
himself 1
in 2
india 1
inexorably 1
is 1
lake 1
leads 1
more 1
motorcycle 1
narrator 1
no 1
of 1
on 1
one 1
out 1
owner 1
painting 1
parker 1
performing 1
setting 1
simple 1
spending 1
succession 1
tasks 1
the 3
there 1
thing 1
timeconsuming 1
to 5
tom 1
trip 1
weeks 1
which 1
