3603794
/m/09pbd5
/m/09pbd5
Mel Odom
1999-06
a 2
after 1
also 1
amusement 1
an 2
and 2
angel 1
apparently 1
attacks 1
baby 1
babysitting 1
before 1
being 1
beneath 1
blood 1
buffy 2
called 1
care 1
changes 1
characters 1
converted 1
cordelia 1
cover 1
discovers 1
domovoi 1
evil 1
faerie 2
faeries 2
fairy 1
feature 1
first 1
for 1
from 1
gellar 1
giles 2
harder 1
have 1
her 1
hiding 1
homestone 1
in 1
include 1
into 2
is 2
joyce 1
michelle 1
need 1
needs 1
night 1
not 1
novel 1
of 2
on 1
one 1
order 1
original 1
out 1
oz 1
park 3
plans 1
renew 1
research 1
resurrect 1
russian 1
sarah 1
save 1
she 2
some 1
strength 1
suddenly 1
taking 1
tells 1
that 2
the 9
then 1
they 1
to 4
vanishing 1
variety 1
weatherly 2
when 1
which 1
will 1
willow 4
witch 1
work 1
xander 1
