7502438
/m/0263nd3
/m/0263nd3
Walter Scott
1825-06-22
{"/m/0hwxm": "Historical novel"}
a 18
abbess 1
abetted 1
about 1
accepted 1
accordingly 2
admittance 1
advice 1
affront 1
against 1
aided 1
all 1
amelot 1
an 4
ancestor 1
and 29
anglonormans 1
annul 1
archbishop 2
arranged 2
arrived 1
as 8
aside 1
assassin 1
assembly 1
assisted 1
assumed 1
at 4
attached 1
attacked 1
attempting 1
attendants 1
aunt 1
aunt3s 1
avenge 1
await 1
back 1
baldringham 1
baldwin 1
bard 1
bards 1
battlements 1
be 4
been 1
behind 1
being 2
berenger 1
betrayed 1
betrayer 1
betrothed 1
betrothed3s 1
borders 1
brave 1
brengwan 1
breton 1
britons 2
brought 1
but 2
by 14
cadwallon 1
call 1
camp 1
canterbury 1
captain 1
castle 4
chamber 1
chaplain 2
charter 1
chester 1
combat 1
commanded 1
concealed 1
consigned 1
consoled 1
constable 4
contrary 1
convent 1
convinced 1
crusade 1
crusader 1
dame 1
damian 6
daughter 1
day 2
de 1
dead 1
death 1
deliverer 1
demand 1
disaffection 1
disguised 1
divorce 1
doloureuse 2
dress 1
dropped 1
dungeon 1
during 2
each 1
ears 1
engagement 1
escort 1
escorted 1
espoused 1
eveline 6
eveline3s 1
executed 1
exhorted 1
expedition 1
false 1
father 1
feuds 1
flemish 2
food 1
for 2
force 1
foretold 1
forfeited 1
formally 1
forward 1
from 2
garde 2
garrison 1
ghost 1
gillian 1
given 1
gloucester 1
grant 1
granted 1
guardian 1
guy 1
gwenwyn 4
had 8
haunted 1
having 3
hawking 1
he 5
headed 1
held 1
henry3s 1
her 16
herald 1
him 6
himself 3
his 12
hospitality 1
house 1
however 2
hugo 5
ill 1
immunities 1
in 13
induced 1
insisted 1
instigated 1
interview 1
ireland 1
it 1
its 1
join 2
just 1
killed 1
king 2
king3s 1
kinsman3s 1
kinswoman 1
knight 1
known 1
lacy 4
lady 1
lands 1
large 1
lay 1
leant 1
learnt 1
led 1
letter 1
life 1
love 1
made 2
maid 1
married 1
marry 1
menatarms 1
messenger 1
might 2
military 1
minstrel 1
mistaking 1
monotonous 1
monthermer 1
near 1
nerved 1
news 1
next 1
night 1
norman 1
now 1
numerous 1
nunnery 1
nursing 1
obtained 1
occupied 2
of 19
offered 1
old 2
on 4
one 1
order 2
ordered 1
other 1
out 1
outlaws 1
owner 1
palestine 1
palmers 1
part 1
passed 1
portcullis 1
powysland 1
predilections 1
presence 1
present 1
prince 3
principalities 1
proceed 1
procession 1
proclaimed 1
promised 2
proposal 1
pursuit 1
ranald 3
raoul 1
raymond 2
reached 1
rebels 1
reply 1
reported 1
representations 1
repulsed 1
rescue 1
reside 1
resigned 1
retinue 1
return 1
returned 2
richard 1
rose 1
royal 2
rumour 1
ruse 1
saddle 1
same 1
saw 1
saxon 1
seclusion 1
secretly 1
seized 1
sent 2
settled 1
settlers 1
severely 1
she 8
should 1
sir 8
slain 1
soninlaw 1
spectators 1
sprang 1
squire 1
stabbed 1
stating 1
subjugation 1
suddenly 1
suggestion 1
suitor 1
sung 1
supplied 1
supposed 1
surrounded 1
syria 1
taken 1
taking 1
that 7
the 45
their 5
third 1
this 2
thither 1
three 1
time 1
title 1
to 28
towards 1
traitors 1
troops 1
unaccompanied 1
unarmoured 1
until 1
usual 1
vassal 1
visit 1
war 1
was 16
way 2
wearied 1
weaver 1
welcomed 1
welsh 3
were 3
when 2
where 2
which 1
while 1
who 5
whose 1
widowed 1
wife 4
with 6
would 1
wouldbe 1
wounded 1
years 1
