7418957
/m/02610m5
/m/02610m5
Jacqueline Wilson
1999
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 13
abandoned 1
about 1
acts 1
adores 1
after 3
already 1
also 2
although 1
ambulance 1
an 3
and 29
appears 2
are 2
argue 1
as 1
at 3
avoid 1
band 1
be 4
because 1
befriends 1
behaviour 2
being 1
bipolar 1
both 4
boy 1
boyfriend 1
breakdown 1
bullied 1
but 2
buys 1
by 2
can 1
care 3
child 1
childhood 1
children 1
city 1
claims 1
classmates 1
colourful 1
contact 1
crazy 1
daughter 1
daughters 1
deciding 1
dislikes 2
disorder 1
do 1
dolphin 16
down 1
drinking 1
due 1
dyslexia 1
embarrassed 1
emerald 1
encourages 1
ends 1
erratic 1
even 1
except 1
fact 1
family 1
father 3
favourite 1
feels 3
find 1
finding 1
finds 1
first 1
flat 2
for 3
foster 5
from 1
getting 1
girlfriend 1
girls 2
go 1
goes 1
going 1
gone 1
had 1
has 7
having 1
he 8
hear 1
heard 1
hears 1
her 14
herself 1
him 6
his 1
home 2
hoped 1
hopes 1
horror 1
hospital 3
ill 1
illness 1
in 11
initially 1
instructor 1
intention 1
into 1
invites 1
is 11
kindly 1
knows 1
later 1
leave 1
leaves 2
library 1
like 1
live 2
living 1
london 1
look 1
love 1
loves 1
loyal 1
lunch 1
manages 1
many 1
marigold 17
may 1
medication 1
meet 2
mental 2
micky 7
more 1
mother 1
name 1
night 1
nothing 1
of 3
older 3
oliver 2
on 1
out 1
outsider 1
own 1
paint 1
paints 1
period 1
phone 1
pleased 1
popular 1
presents 1
problem 1
properly 1
real 1
reconcile 2
refuses 1
returning 1
returns 1
romantically 1
school 1
see 1
sends 1
services 1
set 1
several 1
she 11
shy 1
sister 1
small 1
so 2
some 2
sometimes 1
spend 1
spends 1
star 13
stays 3
still 2
stories 1
story 2
struggles 1
studious 1
surprised 1
swimming 1
takes 1
tattoos 2
teacher 1
teased 1
terrified 1
that 7
the 8
their 1
they 3
things 1
thinks 1
this 1
though 1
thrilled 1
tickets 1
time 1
tired 1
to 23
together 1
touch 1
toxic 1
track 1
turn 1
unaware 1
unique 1
unkind 1
upset 1
using 1
visit 2
wants 1
was 1
weekend 1
when 1
while 2
white 1
who 5
wife 1
will 1
with 14
woman 1
wonderful 1
worked 1
younger 1
