7027786
/m/0h0_pr
/m/0h0_pr
Ian Fleming
1954-04-05
17th 1
a 9
after 1
again 1
agent 2
america 1
an 3
and 25
appreciation 1
are 6
area 1
arm 1
as 1
ate 1
attacked 1
attracts 1
barracuda 3
because 2
been 1
before 2
behind 1
being 2
big 14
bond 22
bottom 1
break 1
british 1
buonapart 1
buried 1
but 3
by 12
captured 3
causes 1
century 1
chest 1
cia 1
city 1
coins 2
contacts 1
continues 1
coral 2
counterpart 1
cover 1
decide 1
decides 1
deeper 1
destroys 1
determine 1
disagreed 1
discovers 1
diving 1
door 1
drag 1
dragged 1
eat 1
either 1
escapes 1
excludes 1
exotic 1
explodes 1
explosion 3
fall 1
fed 1
feedings 1
felix 3
finance 1
finds 1
fingers 1
fish 3
florida 2
following 1
for 1
fortune 1
from 2
gallia 1
gang 1
getting 1
gives 1
gold 3
gunfight 1
gunman 1
harlem 2
has 1
have 1
he 4
head 1
henry 1
her 1
him 3
himself 2
his 8
holding 1
hospital 1
house 1
hull 1
if 1
ignace 1
in 16
infested 1
injured 1
interrogated 1
into 3
investigate 1
investigates 1
is 10
island 1
it 1
jamaica 3
james 1
jazz 1
john 1
kidnapped 1
killed 1
killing 1
later 2
leader 1
leg 1
leiter 4
lies 1
life 1
limpet 2
line 1
local 1
loses 1
m 1
manages 1
many 1
meets 2
member 1
men 3
mi6 1
mine 2
minions 1
mission 1
morgan 1
morning 1
mr 14
name 1
named 1
new 2
nightclubs 1
note 1
of 15
on 3
once 1
one 3
operations 1
or 1
over 3
part 1
personally 1
petersburg 1
pinned 1
pirate 1
placing 1
plans 1
plant 1
poisonous 1
process 1
protected 1
quarrel 3
real 1
reef 3
regular 1
release 1
released 1
rescues 1
resultant 1
returns 1
robber 2
safe 1
saved 1
scouting 1
scuba 1
seconds 1
secret 1
selling 1
sent 1
service 1
several 1
shallow 1
shared 1
shark 4
sharks 2
she 1
sir 1
smersh 1
smuggling 1
so 2
solitaire 8
some 1
something 1
soviet 1
spy 1
st 1
standing 1
station 1
storing 1
story 1
strangways 1
stunned 1
subsequently 1
superior 1
supporting 1
survived 1
survives 1
suspected 2
swims 1
sympathetic 1
tank 2
tanks 2
telling 1
tellinggirlfriend 1
temporarily 1
that 5
the 33
their 1
them 2
then 2
these 1
they 2
though 1
through 1
ties 1
to 18
training 1
trap 1
travel 1
treasure 1
tricked 1
tricks 1
tropical 1
truth 1
turning 1
two 1
underworld 1
up 2
used 1
uses 1
visit 1
voodoo 1
warehouse 4
warehouses 1
was 1
watches 1
water 1
waters 2
when 1
where 1
while 1
whilst 1
who 3
will 1
with 4
yacht 2
york 2
