7387737
/m/0kv6gh
/m/0kv6gh
Kay Thompson
1958
a 16
again 1
also 1
and 13
any 4
arrested 1
arrives 2
asks 2
assistance 1
at 4
aware 1
away 2
bachelor 1
back 1
be 2
became 1
been 1
begins 1
being 1
between 2
bill 3
box 4
break 1
brooks 1
busy 1
but 2
by 1
can 1
changes 1
checkin 1
chosen 1
christmas 1
conversation 1
crawling 1
current 1
currently 1
danger 1
daughter 4
deals 1
declines 2
delivery 2
desk 1
disappointment 1
display 1
does 1
doing 1
due 1
each 1
earlier 1
eloise 15
eventually 1
evicted 1
eye 1
family 1
father 1
find 2
flash 1
focal 1
for 2
forgery 1
found 1
four 1
friends 1
from 4
gift 2
granted 1
had 1
has 1
hasnt 1
have 1
he 6
hectic 1
her 7
him 2
his 3
hoping 1
hotel 5
husband 1
if 1
impending 1
in 8
inform 1
instantly 2
interrupts 1
intervened 1
into 2
is 10
it 1
keeping 1
large 2
leaning 1
learned 1
leave 2
leaves 3
liking 1
line 5
lobby 2
long 1
look 1
main 1
man 1
manager 1
marriage 1
mess 1
middle 1
mission 1
mom 1
moment 1
mother 3
movie 1
mr 7
mrs 1
much 1
named 1
not 1
notices 1
of 9
off 1
offering 1
oliver 3
on 3
one 2
opened 1
other 1
out 3
owner 1
package 3
packages 2
paris 2
parkside 1
patron 1
patrons 1
peabody 2
permanent 1
pink 1
plaza 2
point 1
presents 1
pushes 3
pushing 1
queue 1
rachel 5
rejoice 1
relationship 2
replies 1
requests 1
restoring 1
romance 1
room 7
salamone 6
see 1
sent 1
service 1
she 7
shot 1
skips 1
so 1
some 1
something 1
spy 2
staff 2
stay 1
story 1
subject 1
succeeded 1
suite 1
suspicious 2
table 1
take 2
taken 2
telling 1
tells 2
that 7
the 35
their 1
then 5
there 2
they 2
thinks 1
this 1
thornton 1
ties 1
to 16
top 1
towards 1
tree 1
trip 1
two 2
university 1
unnecessary 1
upgrade 1
very 1
view 1
waiter 2
waiting 1
was 2
we 1
when 5
which 1
who 3
wishing 1
with 7
years 1
