24804922
/m/080dz_x
/m/080dz_x
André Franquin
1999

1 1
a 1
accidentally 1
advertisements 1
against 1
album 1
allows 1
also 3
and 3
antifreeze 2
are 1
avoiding 1
away 1
baterries 1
batteries 2
battery 2
be 1
being 1
bicycle 1
bike 1
bin 1
black 1
brakes 1
brush 3
bubbles 1
but 1
can 2
cause 1
cigarcutter 2
cigars 1
communicate 1
contains 1
cut 1
damages 1
doll 2
drawings 1
drill 2
easily 1
effects 1
efficient 3
electric 3
equipped 1
exposed 1
fan 2
fireextinger 1
flies 1
fly 1
frame 1
gaston 1
grind 1
hair 1
have 1
heating 2
highly 1
ice 1
in 1
it 4
makes 1
miniature 2
minircits 1
motor 1
nonslip 1
nor 1
not 1
of 2
on 2
only 1
paint 2
placed 2
powerful 1
prunelle 1
radiocontrolled 1
roller 2
rotary 1
shaving 1
skates 2
small 1
so 1
soles 2
some 2
someone 1
switch 1
system 1
tank 1
that 2
the 5
them 1
this 2
to 3
too 2
unexpected 1
user 1
ventilator 1
walkietalkie 1
with 6
without 1
wrist 1
