31500509
/m/0glrx6j
/m/0glrx6j
Sara Creasy
2010-04-27
a 7
alien 1
and 1
anyone 1
band 1
been 1
best 1
biocyph 1
blessing 1
bodyguard 1
both 1
called 1
cant 1
clear 1
cooperate 1
crib 1
curse 1
cypherteck 1
deal 1
decide 1
dies 1
do 1
drains 1
dry 1
edie 4
employer 1
fails 1
failure 1
few 1
finds 1
finn 1
for 1
fringe 1
from 1
galaxy 1
has 1
he 1
her 6
his 1
if 3
in 2
is 1
isnt 1
it 2
itself 1
kidnaps 1
kill 1
leash 1
manipulate 1
new 1
of 1
one 1
or 1
past 1
planet 1
populations 1
rovers 2
scarabaeus 1
serf 1
shanim 1
she 3
side 1
store 1
strays 1
surprises 1
taking 1
terraform 1
the 7
them 1
they 1
theyre 1
to 6
trained 1
until 1
what 1
when 2
while 1
whose 1
will 1
world 1
worlds 1
worsens 1
