3796192
/m/0b0g4j
/m/0b0g4j
Cynthia Rylant
1992
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 4
about 1
after 2
age 1
alleviate 1
although 1
an 1
and 3
another 1
anything 1
apathetic 1
appalachian 1
assisted 1
at 1
aunt 2
been 1
beloved 1
blow 1
but 1
by 4
care 1
caretakers 1
child 1
classmate 1
cletus 1
communicate 1
contacting 1
continue 1
cope 1
couple 1
crushed 1
decide 1
decides 1
deciding 1
depression 1
died 1
dies 1
disappointment 1
discover 1
endeavor 1
experiences 1
fears 1
feeling 1
finally 1
for 1
from 1
garden 1
grief 1
had 1
has 3
he 2
her 4
hills 1
him 1
his 4
home 3
however 1
ideas 1
ignored 1
in 5
information 1
initially 1
is 8
kindly 1
last 1
live 1
living 2
may 3
medium 2
meet 1
meets 1
might 1
mistreated 1
mountains 1
moves 1
must 1
news 1
not 1
notices 1
novel 1
ob 5
of 5
old 1
on 3
one 1
only 1
orphaned 1
out 1
overwhelmed 1
own 1
passed 1
presentday 1
protagonist 1
provides 1
recently 1
relative 1
renown 1
return 1
rickety 1
roadtrip 1
sake 1
sensation 1
set 1
she 5
six 2
skepticism 1
snaps 1
some 2
sorrow 1
spirit 2
suddenly 2
summer 10
supposed 1
take 2
that 6
the 12
their 2
this 3
thought 1
three 1
thrives 1
to 11
trailer 1
tried 1
trip 1
try 2
uncle 6
under 1
underwood 1
views 1
virginia 1
virtually 1
was 1
west 1
while 1
who 3
wife 1
will 1
willing 1
with 4
without 1
worrying 1
years 1
