230095
/m/01hgxn
/m/01hgxn
Roger Zelazny
1976
a 33
abyss 1
accord 1
according 1
acquired 1
admits 1
after 3
afterwards 1
alive 1
all 1
allow 1
allowing 1
along 1
already 1
also 2
alternative 1
amber 8
amount 1
an 2
and 43
another 1
answered 1
apart 1
appear 1
appearance 1
appears 3
approaches 1
arden 1
are 1
arm 3
arose 1
around 1
arranged 1
arrive 1
arrived 2
arrives 3
artist 1
as 8
ask 1
asks 3
assumed 1
assumes 1
assures 1
at 3
attacked 1
attacks 1
attempt 1
attempted 1
attune 2
attuned 1
attuning 1
author 1
avenge 1
away 1
back 1
be 7
beast 2
because 4
becomes 2
becoming 1
been 4
being 2
believed 1
benedict 14
between 1
bill 1
blackwhite 1
blade 1
bleys 5
blinding 1
blood 4
blows 1
book 2
brand 21
brought 1
but 9
by 9
cabal 3
cadaverous 1
can 1
capable 1
capture 2
card 1
case 1
castle 2
cave 1
cell 3
center 2
centre 2
chain 2
chambers 2
chaos 3
child 1
choking 1
chronicles 1
city 1
claimed 1
claiming 1
cliff 1
close 1
coincidence 1
comes 1
compost 1
confirms 1
consumedripped 1
contact 3
contacts 6
control 1
convinced 1
corrupted 1
corwin 43
could 1
courts 2
covered 1
creation 1
crossbow 1
dagger 1
damage 5
damaged 2
dara 1
dark 1
days 1
dead 1
death 1
decide 1
decided 1
defeat 1
defeated 1
depths 1
descends 1
describes 2
description 1
destroy 2
destroyed 1
dialogue 1
did 1
differential 1
difficult 1
discuss 1
discusses 1
discussing 1
distracted 1
down 2
draw 1
drew 2
drop 2
dungeons 1
dworkin 7
earth 4
easily 1
edge 1
eight 1
elements 1
emerges 1
enough 1
entire 1
erasing 1
eric 1
ericjuliancaine 1
escape 1
escapes 1
even 1
explains 4
fact 1
fall 1
familiarseeming 1
fatal 1
father 1
fault 1
fight 1
figure 1
find 5
finds 2
finished 1
fiona 5
first 1
fixed 1
fled 1
flees 1
follows 2
fond 1
for 4
force 1
forest 1
former 2
freeze 1
from 9
fully 1
further 1
ganelon 9
garnath 1
gets 1
given 1
gives 1
giving 1
go 1
goes 1
gone 3
grard 4
great 1
griffin 1
griffinlike 1
grinning 2
guard 1
guards 1
guiding 1
had 4
halfblackswirly 1
halfcoloredstripy 1
has 6
have 3
he 28
heap 2
help 2
helpful 1
her 1
here 1
herself 1
hid 1
him 15
himself 10
his 18
hole 1
hoping 3
horror 1
horse 3
how 4
however 1
if 2
immaterial 1
imprisoned 1
in 20
including 1
incorrectly 1
inform 1
instead 1
into 4
is 19
it 13
its 3
jewel 11
joined 1
judgement 2
judgment 1
julian 5
just 1
keep 1
kept 1
kill 2
killing 1
kills 1
knocks 1
known 1
kolvir 2
leads 1
lean 1
learns 1
leaving 2
like 1
liking 1
living 1
longer 2
looks 1
loses 1
loves 1
mad 1
madness 1
makes 1
man 1
manner 1
manticora 1
martin 6
matters 1
may 2
mechanical 1
meet 1
meets 1
mend 1
met 1
metallic 1
metaphoric 1
might 1
missing 2
monstrous 1
morbidity 1
more 1
mother 1
mount 1
moves 1
multiverse 1
musing 1
must 2
necessary 1
neither 1
newfound 1
no 2
nogth 5
nor 1
not 2
notsosubtle 1
now 3
oberon 7
objects 3
obscuring 1
of 29
off 2
on 8
once 1
one 1
only 2
onto 2
oppose 1
or 3
order 1
other 1
out 2
over 1
own 3
pair 1
pale 1
part 1
partly 1
past 1
pattern 23
patterns 1
permanent 1
person 1
persuade 2
philosophical 1
pierced 2
pipe 1
place 2
posted 1
powers 1
presently 1
prevent 3
primal 5
probably 1
proceeds 1
project 1
projects 1
proposes 1
punch 1
purple 2
pursuing 1
rainbowcoloured 1
random 10
ready 1
realises 1
realize 1
realized 1
realizes 2
reasoning 1
rebma 1
rebman 1
recognises 1
recognizes 1
recognizing 1
recreate 2
redheaded 1
refuses 1
remembers 1
repair 1
repairing 1
reshaping 1
respect 1
restrain 1
retrieve 1
retrieves 1
returns 1
reveals 1
rider 1
rides 1
right 3
roger 2
romance 1
room 1
roth 1
run 1
runs 2
safe 1
same 1
saw 1
scheme 1
see 3
seems 1
series 1
set 1
several 1
shadow 3
shape 1
she 4
shortcut 1
shortly 1
shot 1
sky 1
slay 1
slaying 1
slopes 1
small 1
smoking 1
snatching 1
so 1
some 1
someone 1
son 1
sorcerer 1
source 1
spares 1
spill 1
stabbed 1
stabbing 1
stain 3
stains 1
starry 1
starts 1
states 1
still 1
stops 1
strange 2
style 1
suggested 1
summon 1
sure 1
survived 2
swirling 1
takes 2
taking 2
teleport 2
teleporting 1
teleports 2
tell 1
tells 3
that 31
the 100
them 3
then 5
there 5
they 9
this 2
though 2
throne 3
through 7
time 3
tirna 5
to 71
together 1
tomb 1
tonight 1
too 1
top 1
tornado 2
tracks 1
transforming 1
transports 1
tried 1
tries 2
triumvirate 1
true 2
trump 18
trumps 1
try 1
tunnel 1
unconscious 1
unconvinced 1
under 1
unicorn 2
unlikely 1
use 2
used 1
uses 2
using 3
vaguely 1
vale 1
version 1
via 6
vialle 1
vision 1
walk 2
walking 1
wall 1
wanted 1
wants 1
was 6
way 3
weapon 1
wearing 1
what 1
when 3
where 1
whether 1
which 4
while 3
who 7
wife 1
will 3
wishes 1
with 12
wixer 1
would 4
writing 1
zelazny 1
