19586494
/m/04n40z6
/m/04n40z6
Nick Harkaway
2008-06
2 1
a 12
about 2
all 4
allows 1
an 1
and 4
apparitions 1
are 3
around 1
as 6
back 1
bar 1
be 2
because 1
become 2
being 1
best 1
between 2
billion 1
body 1
bomb 1
bombs 3
bone 1
book 2
by 1
causes 1
character 2
characters 2
civil 1
cleanest 1
comes 2
company 2
completely 1
constant 1
contact 1
corporation 1
country 1
creates 1
day 1
different 2
disappear 1
effect 1
emergency 1
end 1
entirely 1
events 1
ever 2
factions 2
failures 1
fantasycomedyepic 1
fiction 1
fire 1
first 1
floating 1
focuses 1
for 1
foreign 1
form 1
fox 1
freebooting 1
friend 1
from 6
goaway 3
goes 1
gonzo 2
government 1
great 1
half 2
has 2
haulage 1
hazmat 1
he 1
hired 1
his 2
holocaust 1
horrific 1
however 2
in 6
information 2
into 1
is 13
it 7
jorgmund 3
know 1
known 2
left 1
livable 1
lubitsch 1
main 2
making 1
material 1
matter 2
met 1
mysterious 1
nameless 1
namelessness 1
new 1
news 1
no 1
noosphere 1
nothing 1
nuclear 1
of 10
off 1
on 2
our 1
out 2
over 1
own 1
past 1
people 1
person 1
pipe 3
population 1
power 1
primarily 1
profoundly 1
protagonist 2
recount 1
reducing 1
reference 1
references 1
referred 2
reification 1
remains 1
remove 1
report 1
revolutionary 1
sciencefiction 1
secret 1
seems 1
sets 1
shocked 1
shows 1
side 1
similar 1
small 1
sparks 1
starts 2
stop 1
storms 1
strip 1
stuff 2
supposed 1
takes 1
that 11
the 35
then 1
there 2
these 2
they 2
thinking 4
this 6
title 1
to 11
today 1
unexpected 1
unnamed 3
uses 1
using 1
war 4
was 1
way 2
we 1
weapon 2
what 1
whatever 1
when 2
which 3
who 1
with 4
world 7
worlds 2
