4055580
/m/0bfv78
/m/0bfv78
Robin Jarvis
2007
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
almost 1
another 1
are 1
as 1
before 1
being 1
but 2
chances 1
compete 1
competition 1
competitor 1
cornfield 1
crystal 1
does 1
entire 1
events 1
fennywolde 1
field 1
for 1
friends 1
games 1
going 1
have 1
he 2
head 1
his 2
honour 1
if 1
important 1
in 2
is 1
isnt 1
it 2
longs 1
means 1
merits 1
mice 1
more 1
most 1
mouse 1
needs 1
not 1
of 4
on 1
other 1
own 1
place 1
prison 1
prize 1
realises 1
sabotage 1
see 1
sentry 1
soon 1
story 1
summer 2
takes 1
than 1
the 15
thing 1
time 1
to 4
wants 1
when 1
which 1
who 1
whortle 1
will 1
win 2
winning 1
young 2
