32063086
/m/0gw_pbc
/m/0gw_pbc

1907
{"/m/05hgj": "Novel"}
20th 1
a 4
about 1
addition 1
american 1
and 5
another 1
at 1
became 1
because 2
between 1
birth 1
bomb 1
but 1
by 3
call 1
carriage 1
century 1
child 1
class 1
confrontation 1
crime 1
danding 3
debt 1
depicted 2
don 2
during 1
early 1
ending 1
explosion 1
first 1
for 1
four 1
free 1
from 1
gambling 1
gatbuhay 4
gatbuhays 1
gathering 1
gave 1
his 2
husband 1
implicated 1
imprisoned 1
in 3
influence 1
inside 3
job 1
killed 1
labor 1
leader 1
life 2
lost 1
luis 2
marry 1
meeting 1
mestizo 1
narrates 1
nicanor 2
novel 1
occupiers 1
of 6
off 2
paying 1
philippines 2
pinaglahuan 2
power 1
prison 1
purpose 2
represented 1
rojalde 4
rojaldes 1
ruined 1
scene 3
set 1
story 1
teatro 1
the 18
theatre 1
to 5
wanted 1
was 4
while 1
whose 1
wife 1
years 1
zorilla 2
