18929154
/m/04jbq83
/m/04jbq83
Caroline Lawrence
2005
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/0hwxm": "Historical novel"}
a 8
abductees 1
able 1
aboard 2
about 2
absence 1
according 1
activities 1
ahead 1
alive 1
all 2
already 1
always 1
and 20
another 2
anxious 1
apollo 2
april 1
are 4
aristo 2
artorius 1
as 8
asia 1
at 5
atticus 1
authorities 1
bad 1
bato 3
be 1
become 1
been 2
begin 1
beginning 1
being 1
bending 1
board 1
book 1
boy 1
break 1
brimming 1
brings 1
but 5
by 2
call 1
cannot 1
captain 2
captured 1
cargoes 1
carrying 1
cases 1
children 3
childrens 1
choice 1
colossus 1
connected 1
consider 1
continuing 1
cook 1
corinth 1
corners 1
crew 2
dancing 1
day 1
dead 1
dedicate 1
delphina 5
despite 1
did 1
discover 1
discovers 1
do 1
dont 1
down 1
drop 1
during 1
earlier 1
escape 1
everyone 1
exchange 1
fallen 1
family 2
feel 1
find 4
flaccus 5
flavia 4
follow 1
for 3
force 1
forces 1
former 1
formerly 1
four 1
freeborn 2
fresh 1
friends 3
from 1
full 1
gaius 1
gangs 2
geminus 3
go 1
gone 1
goodbye 1
goodlooking 1
greece 1
greek 1
has 7
have 1
he 7
her 5
herself 1
him 4
himself 1
his 13
homing 1
however 1
hunt 1
if 2
immediately 1
impressing 1
in 7
include 1
insists 1
intends 1
interrogate 1
into 1
investigate 1
is 13
island 1
it 1
joins 1
jonathan 1
keenly 1
keeps 1
kidnapped 1
kidnapping 1
know 1
laden 1
last 1
late 1
learn 2
least 1
leave 1
left 1
life 1
like 1
local 2
loved 1
lupus 9
lupuss 2
lured 1
lying 1
made 3
magnus 6
make 2
making 1
managed 1
many 1
marcus 1
marina 1
meantime 1
medea 3
melissa 1
members 1
men 1
messages 1
might 1
minute 1
month 1
mother 6
mysterious 1
newlyfitted 1
next 1
not 2
nowinseparable 1
nubia 1
of 9
off 1
omens 1
on 5
one 1
ones 1
opens 1
or 1
ostia 3
other 2
others 3
over 1
overlord 1
own 1
owner 2
passenger 1
passengers 2
patrician 1
pier 1
pigeons 2
pledged 1
poet 1
police 1
port 1
postponing 1
prepares 1
pretext 1
priestess 1
prisoner 1
purpose 1
received 1
recentlydeparted 1
remembers 1
rescue 1
rescuing 1
return 2
rhodes 3
runs 3
sacrifice 1
saddened 1
safe 1
safety 1
sail 3
sailing 2
save 2
saved 1
saying 1
season 1
secretly 1
sending 1
set 1
sets 1
several 1
shaken 1
she 7
ship 5
ships 1
silvanus 1
slave 4
slaveboy 1
slaves 2
sneak 1
sold 2
son 1
sons 1
soon 1
stand 1
still 1
suspect 1
swears 1
swore 1
symi 1
take 1
tells 1
temple 4
terrible 1
that 7
the 52
their 1
then 1
there 1
they 8
things 1
though 2
thugs 1
tie 1
time 1
to 32
told 1
too 1
tour 1
traitor 2
trap 2
trip 1
truth 1
tune 1
tutor 1
understands 1
up 1
valerius 1
valuable 1
venalicius 1
vespa 1
vessel 1
via 1
visit 1
vow 3
voyage 2
was 2
way 1
what 1
which 2
while 1
who 4
will 1
with 4
word 1
wrong 1
zetes 2
zosimus 3
