33621986
/m/0hnbnbk
/m/0hnbnbk
Colin Meloy
2011-08-30

a 20
about 1
above 1
after 2
against 2
ahead 1
alerts 1
alexandra 17
all 1
allowing 1
along 1
among 1
an 7
and 28
archer 1
are 5
armies 1
army 6
arrow 1
as 6
attack 1
avian 1
avians 1
baby 2
back 3
backstory 1
bandit 3
bandits 4
bargain 1
battle 3
be 2
becoming 1
before 1
begins 1
behind 1
bicycle 1
black 1
blood 1
born 1
boughs 1
brendan 4
bureaucracy 1
but 4
by 5
came 1
can 1
captured 3
carry 2
causes 1
charge 1
child 3
choke 1
christening 1
citizen 1
classmate 1
combined 1
commissions 1
conceive 2
confronts 1
consumes 1
control 2
convinces 1
convincing 1
corrupt 1
coyote 6
coyotes 3
criminal 1
cross 1
crown 1
crows 2
curtis 11
cut 1
danger 1
dangerous 1
deal 1
decides 1
defeat 1
demand 1
desperate 1
destroys 1
does 1
down 2
dumb 1
dysfunctional 1
eagle 1
eagles 1
elder 1
ensues 1
escape 1
escapees 1
eventually 1
every 1
exiled 2
expecting 1
factions 1
fancy 1
farming 1
filled 2
final 1
find 1
finds 1
flattering 1
fleeing 1
flies 1
followed 1
for 2
forces 2
foreign 1
found 1
friends 1
from 5
gaining 1
gates 1
gather 1
give 2
gives 1
goes 2
government 2
have 1
he 3
headquarters 1
help 3
her 12
hero 1
him 3
his 1
home 2
how 1
however 1
howitzer 1
impassible 1
implements 1
imprisoned 2
in 16
inspire 1
into 1
invasive 1
iphigenia 3
irregulars 3
is 14
ivy 4
join 1
just 1
kafkaesque 1
keep 1
kidnap 1
kill 1
king 1
kitchen 1
land 1
leads 1
learns 1
leave 1
life 2
living 1
luck 1
mac 9
magic 2
mail 1
make 3
man 1
march 1
meanwhile 2
meet 1
meets 1
militia 1
must 1
mystic 1
mystics 2
near 1
new 3
next 1
no 1
north 4
not 1
occur 1
of 14
off 1
offers 2
officer 1
old 1
on 2
one 1
order 1
other 1
out 2
over 2
owl 2
paranoia 1
parents 3
park 1
part 1
peaceful 1
plan 3
plant 1
plants 1
plots 1
police 1
power 2
prepares 1
press 1
prince 1
principality 1
prison 1
prisoners 1
process 1
promises 2
prue 18
push 1
raging 1
raising 1
realizing 1
refuses 1
regime 1
regroup 1
rejoin 1
remains 1
remnants 1
rescue 1
resign 1
return 2
returns 1
reveals 3
revenge 1
rex 2
rides 2
ruin 1
sacrifice 4
second 2
see 1
seek 1
send 1
sends 1
sent 1
separated 1
set 1
share 1
she 10
shoots 1
shot 1
sky 1
snatch 1
some 1
south 4
speech 1
spends 1
start 1
state 1
stop 1
strikes 1
stumbles 1
suggests 1
supernaturally 1
swoop 1
tactics 1
taken 2
ten 1
that 3
the 46
their 1
them 2
then 3
there 1
they 3
thing 1
this 1
threats 1
to 33
travels 1
treasonous 1
tree 1
tricked 1
truck 1
trust 1
turns 1
uniform 1
upon 1
use 1
used 1
uses 1
utensils 1
victorious 1
want 1
war 1
was 1
ways 1
weapons 1
when 3
while 3
who 3
wilderness 1
wildwood 6
wildwoods 1
will 2
with 9
wood 11
year 1
years 1
