1362842
/m/04wt55
/m/04wt55
Kaye Gibbons

a 22
about 2
abuse 1
accepted 1
accepts 1
accordingly 1
accumulating 1
act 1
adolescentsmdasha 1
afford 1
after 5
again 2
age 3
alive 1
all 5
allows 1
almost 1
also 3
although 3
an 7
and 30
aneurysm 1
another 2
anything 1
are 4
argument 1
around 1
art 1
as 11
at 11
atmosphere 1
attracted 1
aunt 5
back 1
badly 1
be 3
beating 1
beautiful 1
becomes 1
been 2
before 1
being 1
believes 1
believing 1
belongings 2
best 1
betsy 4
better 1
big 1
bitch 1
bitter 1
black 2
books 1
borrows 1
bosslady 1
both 1
box 1
boyfriend 1
bribing 1
brought 1
bruises 1
buddies 1
but 5
by 4
called 1
calls 1
can 1
cannot 1
care 1
carefully 1
caused 1
center 1
charge 1
cheaplooking 1
child 1
childhood 1
children 2
christmas 2
church 1
claims 1
colored 3
coloreds 1
comes 1
completely 1
condition 1
consider 1
cotton 1
could 1
court 1
cousin 1
creative 1
cup 1
custody 1
dark 1
daughter 3
day 1
days 1
death 3
decided 1
describing 1
despite 1
detesting 1
died 1
dies 2
disadvantaged 1
doctor 1
does 6
domestic 1
dora 3
drawing 1
drink 1
drinking 1
drinks 1
during 2
dutifully 1
early 1
eat 1
effort 1
eleven 1
ellen 34
encounters 1
even 4
expects 1
fails 1
family 4
father 10
fathermdashshe 1
feels 1
feet 1
fever 1
few 2
fields 1
finances 1
first 2
following 1
for 11
formalities 1
foster 4
free 1
friend 1
friendly 1
friends 1
from 6
furthermore 2
germs 1
get 3
gets 1
girl 2
given 2
glad 1
glass 1
go 1
goes 3
going 1
good 1
granddaughter 1
grandmother 4
grumpy 1
had 1
hand 1
happy 1
has 15
have 3
having 1
he 2
heart 1
helps 1
her 67
herself 1
him 3
himself 1
his 1
home 4
hospital 2
house 5
household 2
how 2
however 1
husband 2
if 1
ill 1
imagines 1
important 1
improve 1
in 13
inculcated 1
instance 1
into 1
intruder 1
invites 1
is 26
it 3
julia 2
just 1
killing 1
kind 2
kinds 1
knows 1
later 2
learns 2
leave 1
leaving 1
left 1
library 1
life 5
lips 1
little 1
live 1
lives 1
lot 1
love 1
loved 1
lying 1
mainly 1
makes 1
mama 4
mania 1
meager 1
microscope 1
mind 1
mistakes 1
misunderstands 1
money 4
months 1
more 1
morning 1
most 1
mother 6
mrs 1
my 1
myth 1
nadine 6
need 1
nelson 1
never 1
new 4
next 1
nice 1
niggers 1
night 2
no 1
not 8
noticed 1
novel 2
nurse 1
occurs 1
odyssey 1
of 21
old 1
on 6
one 2
only 2
onto 1
opens 1
or 4
orphaned 1
other 1
out 2
over 2
overcome 1
overcomes 1
overdose 1
overhears 1
own 1
pack 1
packs 2
paint 1
painting 1
pair 1
paper 1
parents 3
past 1
people 1
period 1
permanence 1
permanently 1
persecution 1
picaresque 1
picture 1
pills 1
plans 1
poor 1
prejudice 2
premature 1
presents 1
pretends 1
problem 1
protect 1
quarrel 1
question 1
racial 2
rather 2
reader 1
real 2
reality 1
realizes 1
really 1
receives 1
recently 1
referred 1
refuses 1
released 1
remembering 1
reproaches 1
responsible 1
return 1
revenge 1
rheumatic 1
rid 1
romantic 1
roy 2
same 2
saved 1
says 2
school 1
see 1
selfsufficient 1
separations 1
settled 1
sex 1
sexual 1
she 34
silly 1
single 1
sisters 1
sleep 1
smart 1
solution 1
soon 1
sooner 1
spare 1
spend 1
spending 1
spirited 1
spite 1
spread 1
starletta 5
start 1
starts 3
stay 2
stays 1
stealing 1
still 1
suffers 1
summer 1
surname 1
take 1
taken 1
takes 3
taking 1
teacher 1
tell 1
tells 1
temporary 1
than 1
that 7
the 38
them 4
they 1
thing 1
things 2
this 1
thoughts 1
through 1
throughout 1
throws 1
time 4
to 29
together 1
touch 1
toys 1
trash 1
treats 2
tries 1
true 1
turn 1
turns 2
two 1
understanding 1
ungrateful 1
unhappy 1
up 5
us 1
use 1
vein 1
very 1
violence 1
want 1
warm 1
way 2
wealthy 1
weekend 2
welcome 1
well 1
wellbehaved 1
what 1
when 10
where 1
which 2
while 1
white 1
who 11
whole 1
whom 1
whose 1
will 3
with 10
woman 3
work 1
workers 1
would 1
years 1
you 2
young 1
your 1
