18920820
/m/04jm7lf
/m/04jm7lf
Elizabeth Enright
1951
{"/m/0dwly": "Children's literature"}
a 6
again 1
and 10
another 1
any 1
are 1
arrives 1
as 1
at 2
authors 1
away 1
be 2
behind 1
being 1
boarding 1
brother 1
certain 1
change 1
chapter 1
children 2
city 1
clue 1
clues 1
community 1
countryside 1
dealing 1
discovering 1
each 1
elderly 1
end 1
even 2
everyone 1
exploring 1
family 4
final 1
find 2
first 1
for 2
friend 1
game 1
going 1
gone 1
guesses 1
hard 1
has 1
hates 1
have 1
her 2
history 1
in 4
inviting 1
leads 1
left 1
life 1
lives 2
mail 1
mark 1
maze 1
melendy 1
miranda 1
misdirection 1
mona 1
mrs 2
mysterious 1
new 1
note 2
now 1
of 6
oliphant 2
oliver 4
one 1
only 1
placid 1
promise 1
promised 1
race 1
randy 5
rare 1
reveals 1
reward 1
rhyming 1
rush 1
school 1
solve 1
sort 1
start 1
summer 1
the 16
their 4
themselves 2
then 1
they 2
this 1
through 1
time 2
to 6
together 1
treasure 1
treated 1
was 2
were 1
winter 1
with 4
worst 1
york 1
younger 1
