19975292
/m/04y8swf
/m/04y8swf
Brian Jacques
2010
{"/m/01hmnh": "Fantasy"}
a 41
abbess 3
abbey 5
ablebodied 1
about 3
absence 3
accidentally 2
across 1
action 1
adventurous 1
advice 1
after 6
again 2
against 1
agree 1
agrees 1
aid 1
alive 1
all 1
almost 1
alone 2
along 2
also 3
althier 8
ambrevina 8
an 3
and 70
another 1
any 1
anyone 1
appears 1
are 9
argument 1
arrives 1
arrows 1
as 14
at 3
attempt 2
attempting 1
attempts 3
attics 1
avenge 1
avenging 1
away 2
axtel 6
babe 1
babes 3
back 5
bad 1
badger 5
badly 4
band 1
bankside 1
bard 1
barges 1
battering 2
battle 2
be 7
beast 1
beaten 1
because 1
become 1
becomes 1
been 5
before 4
behead 1
behind 4
being 2
believes 1
bellropes 1
better 1
between 1
bigboat 1
biggest 1
bite 1
blade 1
blocking 2
blood 1
bloodwrathpossessed 1
book 2
bored 1
borti 1
both 3
boulder 1
bound 1
brang 4
braver 1
break 2
broadsword 1
brockhall 1
broken 1
brother 3
brutally 1
buckler 18
buddies 1
build 1
burglary 1
bury 1
but 11
by 21
called 1
campsite 1
can 5
cannot 2
captain 1
captive 4
captives 3
capture 1
captured 3
care 2
carried 1
catch 1
catches 1
cause 1
causes 3
causing 1
cave 4
caves 1
chamber 1
clarinna 4
clean 1
clerun 1
cloak 1
collapses 1
comes 1
coming 1
commands 1
company 4
completely 1
concealed 1
concentrate 1
confidant 1
contains 1
contest 1
control 1
could 1
creature 1
creatures 1
cruelly 1
cry 1
cut 1
dagger 1
damages 1
dead 1
deadly 1
deals 1
deciding 1
delirious 1
deliver 1
demands 3
deserted 1
despair 1
dibbun 1
dibbuns 3
did 2
dig 1
digging 2
diggs 12
digs 2
direction 1
dirt 1
disappear 1
discovered 1
discovers 2
discusses 1
discussion 1
do 3
does 1
down 3
duel 1
dug 1
duo 1
during 1
duty 2
ear 1
easily 1
eat 2
emerging 1
encounters 2
end 2
ends 1
enemies 1
ensues 2
ensuing 1
enter 1
entire 2
entrance 1
escape 4
escaped 1
escapees 2
escapes 1
escaping 1
evil 1
eye 1
falls 2
fantastic 1
far 2
farm 1
father 1
females 1
figure 1
finally 2
find 2
finding 2
finds 1
first 2
flandor 5
flee 2
flees 3
flib 8
foiled 1
follow 1
followed 1
follows 1
food 2
footpaw 2
for 9
force 7
forces 2
forcing 2
forgefire 1
forgotten 1
fortunately 2
four 3
fox 1
frap 1
freed 1
freedom 1
friend 3
from 10
front 1
gagged 1
gate 1
get 5
give 2
gliv 1
globby 2
gluttonous 1
going 1
gone 1
gotten 1
great 1
gripchun 1
group 5
guard 2
guards 1
guffy 1
guosim 3
gurchen 1
had 4
hall 1
hanging 1
happens 1
hard 1
hare 4
hares 3
harm 1
has 12
have 10
having 2
he 17
head 2
headed 1
heads 1
heal 1
health 1
hear 1
hearing 2
hears 1
hedgehogs 2
hedghog 1
heeding 1
help 1
helping 1
helpless 1
her 22
hers 1
herself 1
hidden 1
him 16
himself 1
his 28
hitting 1
home 2
hoping 1
horde 1
hostage 2
hostages 1
house 1
however 6
hue 1
huge 1
hunt 1
ignoring 1
imprisons 1
in 29
inexperienced 1
infant 2
information 1
informs 2
ingratitude 1
insane 1
inside 1
instance 2
instead 1
instructions 1
instructs 2
intending 1
intent 1
interrogate 1
into 9
is 18
island 1
it 3
its 1
jango 1
job 1
join 2
just 2
keeping 1
killing 1
kind 1
kitchen 1
kitchens 3
knife 1
knocks 1
know 2
knowing 3
knows 1
kordyne 1
lady 1
landslide 1
last 1
later 1
lead 1
leads 2
leaves 2
leaving 2
led 5
left 1
life 3
limp 1
little 1
location 1
long 2
lord 2
lose 1
lost 1
made 1
make 2
making 1
manage 1
managed 1
manages 1
many 2
march 1
marjoram 2
martin 1
match 1
matthias 1
mattimeo 2
meal 1
meanwhile 3
meet 1
meeting 1
memory 2
merely 1
mess 1
met 2
midda 3
miscreant 1
missing 1
mole 2
molebabe 1
molebabes 1
moles 2
more 1
mossflower 3
most 1
mountain 1
mouse 1
moved 1
moves 1
mumzy 4
murder 1
music 1
musical 1
natural 1
nearby 4
neck 1
necklace 1
nephew 1
new 2
next 1
niece 1
no 2
not 6
notice 1
now 6
nurses 1
of 35
off 6
offered 1
offering 1
old 1
omen 1
on 17
once 2
one 7
ones 12
opportunity 1
ordered 1
orders 2
organized 1
other 13
others 1
otter 3
out 8
outcome 1
outside 3
over 1
overcome 1
pack 1
pain 1
part 1
party 1
patrol 2
performing 2
phial 2
picnic 1
piercing 1
pikesurrounded 1
pilfered 1
pin 1
plan 1
planning 2
plans 1
plot 1
poison 1
poisoned 2
position 2
prepare 1
prepares 1
prison 4
prisoners 1
proceed 1
process 2
prolonged 1
proper 1
protests 1
proves 1
punishes 1
quean 3
quite 1
raft 1
rage 1
raised 1
