14126296
/m/03cvdcl
/m/03cvdcl
Mickey Spillane

a 4
across 1
after 1
agency 1
all 1
an 1
and 6
apparently 1
are 3
as 2
attorney 1
been 1
being 1
believe 1
blackmailing 1
body 2
bullets 1
but 1
by 2
carried 1
chester 1
commit 1
committed 1
considered 1
considering 1
criminal 1
district 1
does 1
drinking 1
during 1
evidence 1
features 1
finds 1
first 1
formerly 1
friend 3
from 2
gun 3
had 2
hammer 5
has 2
he 1
her 1
his 4
hotel 1
ii 1
in 3
include 1
investigate 1
investigation 2
investigator 2
involved 1
is 2
it 2
kills 1
large 1
licence 1
licences 1
many 1
mike 1
missing 1
modelling 1
motive 1
murder 1
new 1
night 1
no 1
not 3
novel 1
of 2
old 1
one 1
only 1
opportunity 1
out 1
own 2
parts 1
people 1
police 1
powerful 1
private 2
proceeds 1
questioned 1
really 1
revoke 1
rich 1
room 1
same 1
scheme 1
secretary 1
seems 1
she 1
shoots 1
small 1
someone 1
suicide 3
suspicion 1
takes 1
that 2
the 9
they 1
this 1
time 2
to 4
two 1
under 1
up 1
velda 1
wakes 1
war 1
was 1
wheeler 2
who 1
with 2
world 1
york 1
