7769597
/m/026cgfd
/m/026cgfd
Gillian Bradshaw
1981-05
a 7
able 1
accept 1
accepted 1
acknowledge 1
addresses 1
affairs 1
after 3
against 1
aged 1
agravain 3
also 1
an 2
ancient 1
and 17
ap 1
are 2
area 1
around 1
arthur 4
arthurs 3
arts 2
as 2
at 1
back 1
battles 1
be 2
became 1
bedwyr 1
begs 1
believe 1
bildungsroman 1
blessed 3
blood 1
both 1
britain 2
british 3
brother 3
brothers 1
but 1
by 7
caledvwlch 1
called 1
camlann 2
captured 1
cart 1
cei 1
ceincaled 2
centered 1
chapter 1
child 1
committed 1
converts 1
cover 1
dark 2
darkness 2
day 1
death 1
deity 1
discovers 1
disorganized 1
does 1
doesnt 1
domain 1
during 2
earns 1
easily 1
encroaching 1
enthralled 1
escape 2
eve 1
even 1
eventually 1
failures 1
family 3
farmer 1
father 1
feuds 1
final 1
finally 3
fix 1
flee 1
flees 1
forced 1
forever 1
from 1
frustrated 1
gain 1
gawain 1
go 2
goes 1
going 1
great 1
greater 1
grievous 1
gwalchmai 16
hand 1
has 2
hawk 1
he 8
help 1
helping 2
here 1
him 6
himself 1
his 14
horrified 1
horse 1
however 2
in 8
inhabitants 1
initially 2
instead 1
interrupts 1
into 1
is 12
isle 4
isles 1
its 2
keeps 1
kin 1
kings 2
knights 1
land 1
latter 1
learn 1
learned 1
light 1
literature 1
lives 1
located 1
long 1
lot 3
lugh 1
magic 1
maintains 1
man 1
many 1
masters 1
may 1
medraut 2
meets 1
met 1
middle 1
midst 1
modern 1
mordred 1
morgawse 3
morgawses 1
mother 2
mystical 1
name 1
named 1
namely 1
north 1
northern 1
not 2
obtains 1
of 17
on 4
one 1
or 1
orcade 1
origin 1
other 2
par 1
pendragon 1
powerful 1
promised 1
proves 1
quickly 1
read 1
recent 1
recognize 1
refuses 1
relationship 1
reunite 1
revelation 1
ride 1
ritual 1
samhain 1
saxons 4
scotland 1
secrets 1
seems 1
servant 1
skills 1
so 1
soil 1
some 2
south 1
split 1
standards 1
stay 1
struggled 1
struggles 1
swiftly 1
sword 1
taught 1
teach 1
that 1
the 35
their 1
then 2
there 1
they 2
this 2
thrall 1
three 1
to 19
together 1
towards 1
training 1
transported 2
trust 1
try 2
turns 1
under 1
unknown 2
unruly 1
until 3
up 1
upon 1
uther 1
war 5
way 1
well 1
where 5
while 1
who 2
win 1
winning 1
with 6
wrath 1
write 1
years 1
young 1
younger 1
youngest 1
