29958740
/m/0fqm0sr
/m/0fqm0sr
Nawuth Keat
2009
18 1
300 1
317 1
a 32
able 1
about 2
accurate 1
across 1
actual 1
after 6
afterwards 2
afterword 1
again 2
aid 1
airplane 1
airport 1
all 2
allowed 1
almost 1
along 1
also 3
an 7
and 47
ang 2
angka 1
another 2
anthony 1
any 2
anyway 1
are 5
area 1
arent 1
arm 1
as 4
asked 1
assigned 1
at 3
ate 1
attack 3
attacked 1
aunt 2
away 3
baby 1
back 2
bad 1
bag 1
battambang 2
be 4
became 1
because 1
become 1
been 1
before 1
began 1
being 1
believe 1
bellies 1
best 1
better 1
birth 1
blamed 1
bloated 1
bodies 1
border 1
both 1
brian 1
brother 1
brothers 2
buddhist 1
build 1
building 2
bullet 1
bullets 1
bunna 4
bus 2
but 8
buy 1
by 6
cambodia 1
cambodian 2
cambodians 1
camp 6
camps 1
catches 1
caught 3
certain 1
chalat 1
chance 1
changed 2
chantha 8
chanty 2
chanya 1
check 1
chicken 2
child 1
children 2
cities 2
city 2
classified 1
completely 1
convinced 1
corn 5
could 1
crossfire 1
crowded 1
dams 1
danger 1
days 2
dead 1
death 1
deport 1
destroyed 1
dictator 1
did 3
died 2
doctor 4
dollars 2
drink 1
due 2
during 4
eats 1
eight 1
enema 1
enemies 1
entire 1
escape 1
escapes 1
eventually 2
ever 3
every 1
evil 1
exminations 1
family 10
far 1
farmer 1
farms 2
father 7
few 4
fiance 1
fifth 1
filled 1
finally 2
find 1
fish 1
flee 1
flees 1
followed 1
following 1
food 5
for 7
forced 5
found 1
france 2
francisco 1
free 1
friends 2
from 11
front 1
further 2
gave 4
get 1
gets 1
given 1
giving 1
go 5
going 1
gold 1
goodbye 1
got 9
gotten 1
government 1
grandmother 1
great 1
guard 1
guards 2
hackly 2
had 11
harsh 1
has 2
have 3
he 18
head 1
help 1
hides 1
high 1
him 8
himself 1
his 22
hospital 1
hour 1
how 2
hundred 1
huts 1
immigrant 1
improvement 1
in 21
indonesia 1
infected 1
infection 2
infections 1
injured 1
inland 1
instead 1
into 4
invade 1
involved 1
is 21
it 5
job 1
join 1
joins 1
jungle 3
keat 1
khmer 12
kids 1
killed 2
know 1
known 1
labor 2
lack 1
lan 10
landed 1
landmines 1
large 1
larger 1
largest 1
later 6
leave 4
leaving 1
left 5
less 1
let 1
life 4
like 1
live 3
lived 2
lives 1
lyons 1
made 3
make 1
malnutrition 1
man 1
many 2
march 1
married 2
massacred 1
medical 1
meet 1
met 2
military 1
missread 1
mom 3
monkeys 2
monks 1
month 1
monthly 1
months 2
more 4
morning 1
most 1
mother 1
motorcycle 1
moved 1
murder 1
murders 1
named 2
names 1
nations 2
nawuth 36
neighboring 2
night 1
not 7
nothing 1
of 16
offerings 1
old 2
older 1
oldest 1
on 4
once 1
one 3
only 2
or 1
oregon 1
organization 1
other 1
others 1
out 2
over 2
overruns 1
owning 1
paid 1
palm 1
papers 1
parents 1
paris 3
particular 1
passed 1
pay 1
people 6
places 1
play 1
pol 1
pond 1
portland 2
pot 1
prak 1
products 1
pronounced 1
prosperous 1
pursat 1
qualificaton 1
rany 1
read 1
realizes 1
refugee 3
refugees 1
refused 1
rejoins 1
religious 1
remains 1
rest 2
return 1
rice 4
rouge 12
ruins 1
run 1
ruthless 1
salatrave 4
same 1
san 1
saves 1
saviors 2
say 1
scarce 2
scars 1
school 1
seen 2
sent 1
separated 1
she 1
shortly 2
shot 2
shunned 1
sick 1
signed 1
sister 3
skirmish 1
slipped 1
small 1
sneak 1
so 2
soldier 1
some 5
soon 1
spared 1
spent 1
split 2
sponsor 3
sponsored 1
squash 1
started 2
starvation 2
statement 1
states 3
stay 1
staying 1
stays 1
steal 4
stephanie 1
still 1
stole 2
stolen 1
suffer 2
suffering 1
supposed 1
survive 1
survives 2
sweetheart 1
taken 1
takes 2
talk 1
task 1
taught 1
team 1
teenagers 1
tells 1
ten 1
thai 2
than 4
that 9
the 83
their 3
them 5
then 2
there 6
they 32
thirty 1
this 10
though 1
thousands 1
three 2
tickets 1
time 6
times 1
to 50
told 2
too 1
took 2
town 1
tractor 1
transformed 1
traps 2
trash 1
treat 1
trip 1
truly 1
try 1
turned 1
two 3
unable 1
uncle 1
united 5
up 3
using 1
van 10
vibol 3
vietnamese 5
vietnameseprotected 1
village 1
visit 1
wait 1
walked 1
wanderers 1
want 1
war 1
warning 1
was 12
weak 1
wealth 1
week 1
weeks 5
welfare 1
were 10
what 2
when 5
where 4
which 1
while 3
who 3
willing 1
with 13
without 1
witnesses 1
woman 2
work 1
works 1
world 2
worse 1
worth 1
would 5
wound 1
year 2
years 1
yelled 1
you 1
zones 1
