4312519
/m/0bwj3_
/m/0bwj3_
Steve Alten
2004-07
{"/m/06n90": "Science Fiction"}
18 1
201 1
a 10
about 1
after 2
also 2
an 1
and 8
angel 7
are 3
as 3
attempt 1
attempts 1
aware 1
beachings 2
behind 1
being 2
believes 1
bigger 1
bills 1
board 1
book 1
both 1
brother 1
but 1
by 4
capture 2
caused 1
commentary 1
contest 1
danielle 1
daredevils 2
daughter 2
david 1
dead 1
deal 1
deep 1
described 1
dispute 1
due 2
early 1
end 1
entered 1
even 1
events 2
expert 1
feeding 1
feels 1
first 2
florida 1
for 2
from 2
galleon 1
get 1
gives 1
good 1
grudge 1
has 2
have 1
having 1
he 2
held 1
him 3
hinted 1
his 8
hollywood 1
impregnated 1
in 10
individuals 1
institute 1
into 2
investigates 1
is 8
island 1
it 1
joins 1
jonas 5
kids 1
kill 1
killing 1
last 1
later 1
latest 1
litter 1
lives 1
looking 1
lots 1
lured 1
lures 1
lurks 1
mac 1
male 2
maren 1
master 1
meanwhile 2
meg 2
megalodon 3
megs 1
michael 2
months 1
more 1
named 1
neither 1
nicknamed 1
novel 2
now 1
of 7
off 1
offer 1
on 3
opportunity 1
overwhelmed 1
pacific 1
past 1
pet 1
place 1
planning 1
possible 1
proceeds 1
producer 1
provide 1
pursued 1
pursuing 1
real 1
reality 1
rebellious 2
recapturing 1
remains 1
responsible 1
result 1
returned 1
returns 1
revenge 1
same 1
scarface 2
scars 1
scenes 1
second 1
several 1
she 1
show 2
sixties 1
so 1
someone 1
something 1
son 1
south 1
spanish 1
spouses 1
succeed 1
surface 1
take 1
taking 2
tampa 1
taylors 1
teenage 1
television 1
terrible 1
territory 1
terry 4
than 1
that 2
the 22
their 1
then 1
they 1
this 1
to 9
toprated 1
trench 3
tv 2
two 1
using 1
vancouver 1
waters 1
well 1
whale 2
where 1
which 3
while 1
wife 2
with 5
years 1
zones 1
