27352990
/m/0bxyygh
/m/0bxyygh
Charles Finch
2008-08-05
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
a 7
additionally 1
alma 1
and 2
apprentice 1
aristocrat 1
as 1
at 2
back 1
becomes 1
body 1
book 1
case 1
central 1
charles 1
clues 1
college 1
dallington 1
disappearance 1
discovery 1
engages 1
eventually 1
evolving 1
friendship 1
goes 1
graduate 1
headquarters 1
himself 1
his 3
in 1
introduces 1
investigation 1
is 1
jane 1
john 1
kidnapping 1
lady 1
leads 1
lenox 3
lenoxs 2
lincoln 1
london 1
lord 1
mater 1
missing 1
mother 1
murder 1
mysterious 1
mystery 1
of 5
oxford 2
piece 1
potential 1
revisits 1
romance 1
society 1
solve 1
student 1
subplot 1
the 7
this 1
to 3
together 1
trail 1
university 1
upon 1
wastrel 1
which 1
with 1
young 1
