23523903
/m/06wbrmm
/m/06wbrmm
Erin Hunter
2009-06-09
a 12
abandonedlooking 1
able 1
about 3
accident 1
acted 1
afraid 1
after 2
afterwards 1
again 2
agree 1
allow 1
almost 1
also 2
an 1
and 26
another 1
apprentice 1
apprenticeships 1
are 3
as 3
ask 1
asks 1
at 2
attacked 2
back 5
barn 1
basement 2
be 1
beats 1
because 3
become 1
before 1
bloodclan 5
blows 1
bonehill 1
bones 1
bottom 1
but 10
by 10
camp 1
cats 2
caught 1
clan 2
cold 1
come 1
confides 1
confronted 2
cover 1
created 1
dead 1
death 1
decides 2
devastated 1
died 1
direction 1
discover 1
does 1
down 1
dreams 1
drowns 1
empty 1
end 2
eventually 1
everybody 1
far 1
father 2
fear 1
features 1
few 1
find 3
first 1
for 4
forcing 1
forest 1
freshkill 1
friends 1
from 4
get 2
gets 2
give 1
giving 1
go 6
goes 2
gone 2
guesses 1
had 1
happier 1
happy 1
has 2
hawk 4
hawkpaw 2
he 2
helps 1
her 16
here 1
hill 1
him 4
holding 1
horrible 1
house 1
how 2
hunting 2
if 1
immediately 1
in 5
instead 2
into 5
is 12
it 2
join 1
joined 1
ken 2
kill 1
killed 1
kit 1
kits 17
kittens 1
kittypet 1
last 1
later 4
leader 1
leaks 1
leave 1
leaves 3
lectures 1
leopardstar 1
lets 2
lies 1
life 1
like 1
little 1
lives 1
loner 1
long 1
look 1
looking 1
make 1
makes 1
meanwhile 1
meets 1
met 1
moons 1
moth 4
mother 1
mothpaw 2
much 1
name 1
names 1
nest 1
night 1
no 1
not 3
nursery 2
of 8
old 1
on 3
one 1
other 1
out 5
outside 2
outskirts 1
pain 1
patrol 3
pine 2
pipe 1
play 1
pointing 1
possible 1
pretending 1
previously 1
promise 1
pushes 1
queen 1
raise 1
rapidly 1
realizes 1
refuses 1
remnants 1
rescues 1
revenge 1
riverclan 3
run 2
russetfur 2
safe 1
safer 1
same 1
sasha 18
saw 1
says 3
secret 2
see 1
shadowclan 2
she 15
shecat 2
shnuky 1
so 1
some 1
soon 1
stay 1
still 1
suffered 1
tadpole 4
take 3
takes 1
telling 1
tells 5
territory 1
than 1
that 12
the 28
their 9
them 14
then 1
they 14
this 1
three 3
through 1
tigerstar 8
time 1
to 19
trapping 1
trick 1
truth 1
trying 1
twoleg 1
twolegplace 1
up 3
walks 1
want 1
warns 1
warrior 2
warriors 2
was 3
water 1
what 1
when 3
where 1
while 3
who 1
whom 1
why 1
will 1
window 2
wish 1
with 4
