34403717
/m/0h_fbc5
/m/0h_fbc5
Thomas B. Costain

{"/m/0hwxm": "Historical novel"}
13th 1
a 15
able 1
act 1
aden 1
adventures 1
after 1
again 1
alexandria 1
all 2
although 2
an 2
and 16
anthemius 2
antioch 1
approaches 1
are 2
army 2
around 1
arrive 1
as 3
astonished 1
at 1
attempts 1
attends 1
audience 1
baby 1
back 1
bacon 2
bastard 1
bayan 3
bayannbsp 1
be 3
beautiful 1
behind 1
being 3
black 1
borders 1
both 1
boy 1
business 1
but 2
by 4
caged 1
capital 1
caravan 2
castile 1
castlenbsp 1
cathay 2
caught 2
century 1
chessplayer 1
chief 1
china 1
chinese 3
city 1
cleverness 1
comes 1
companions 1
compass 1
compelled 1
competent 1
condition 1
consequences 1
considers 1
convincing 1
couple 1
course 1
court 1
curry 1
custody 1
dead 1
deadly 1
death 1
decide 1
decides 2
demonstrate 1
desperate 1
desperately 1
determined 1
difficult 1
due 1
duo 1
east 2
edward 1
eleanor 1
empress 2
encountered 1
encouraging 1
england 3
english 2
englishmen 1
enter 1
escape 2
escapes 1
escort 1
eventually 1
ever 1
eyes 1
fallen 1
fame 1
far 1
faraway 1
father 1
favor 1
fearing 1
finally 1
find 2
finds 4
firstnbsp 1
flee 1
follow 1
for 3
friend 3
friends 1
from 3
front 1
gaining 1
general 1
gets 1
gift 1
giftbearing 1
given 1
grandfather 1
grandson 1
great 1
greek 1
gunpowder 1
gurnie 3
happiness 1
has 1
having 1
he 8
heading 1
heir 1
her 4
him 4
his 10
holding 1
home 1
honest 1
hope 1
horde 3
hundred 1
husbandnbsp 1
i 1
impressed 1
in 12
incredibly 1
indefinitely 1
india 1
inheritance 1
initially 1
inspired 1
into 1
inventions 1
is 4
it 1
its 1
journey 2
joyous 1
justice 1
khan 2
king 1
knowledge 2
kublai 1
land 1
large 1
lead 1
learns 1
leave 3
lecture 1
led 1
left 1
little 1
live 1
london 1
longbow 1
lord 2
love 1
lover 1
luxurious 1
man 1
marrying 1
marseilles 1
maryam 4
maryamnbsp 1
meanwhile 1
measure 1
medieval 1
meets 1
merchant 1
mistakenly 1
mongol 3
mongolian 1
most 1
named 1
names 1
near 1
need 1
next 1
nobility 1
nobleman 1
norman 1
now 2
obtained 1
of 22
off 1
old 2
on 4
once 1
one 1
only 2
ordeal 1
order 1
out 1
oxford 1
palaces 1
papermanufacturing 1
participating 1
peace 1
physicality 1
place 1
power 1
powerful 1
presents 1
pretend 1
processnbsp 1
procure 1
prosperous 1
proud 1
proverb 1
punished 1
pursue 1
pursuits 1
queen 1
quietly 1
raid 1
reached 1
reaches 1
recovering 1
refuses 1
rest 1
returns 2
reunited 1
rich 1
riot 1
risking 1
roger 2
rose 1
searches 1
secret 1
see 1
seeing 1
sees 1
semimythical 1
sent 1
servant 1
services 1
she 3
shelter 1
shiphopping 1
sister 1
soon 1
south 1
spends 1
spiteful 1
stays 1
student 1
succeeds 1
successful 1
surprised 1
surrender 2
taking 1
task 1
telescope 1
tells 1
that 1
the 47
their 4
them 5
thereby 1
they 4
threat 1
three 1
through 1
to 28
travel 1
tristram 3
tristramnbsp 1
truths 1
two 4
unfortunately 1
up 1
venice 1
very 1
walter 11
walternbsp 1
war 1
way 3
weeks 1
when 1
where 1
while 3
who 2
with 10
womennbsp 1
wondrous 1
words 1
would 1
years 1
young 2
