24884621
/m/09gf6zb
/m/09gf6zb

2009-07
{"/m/0xdf": "Autobiography"}
a 5
achieved 1
after 1
again 1
among 1
and 11
another 1
any 1
as 3
at 1
back 2
before 1
began 1
bitter 1
books 1
borrowed 1
came 1
change 1
childhood 1
circumstances 1
class 1
clothes 1
college 1
coming 1
communicator 1
community 3
consultancy 1
control 1
corporate 1
could 1
dark 1
days 2
dealt 1
decided 2
eldest 1
eventually 1
extended 1
family 4
father 2
feelings 1
finally 1
find 1
food 1
forced 1
forgive 1
found 1
friends 1
from 1
getting 1
giant 1
got 3
grew 1
halt 1
harsh 1
has 1
he 8
help 1
himself 2
his 16
household 1
how 1
however 1
hyderabad 1
in 3
involved 1
job 2
learned 1
learning 1
life 5
live 1
lived 1
local 2
lost 1
lower 1
made 1
memoir 1
middle 1
mob 1
money 1
never 1
new 1
not 1
of 5
on 2
one 1
poor 1
popular 1
raised 1
rapid 1
resentful 1
respected 1
responsibilities 1
responsibly 1
rest 1
rise 1
robert 6
school 1
services 1
son 1
spending 1
stigma 1
still 1
struggled 1
summarises 1
sunil 1
support 1
take 1
tata 1
tcs 1
technology 1
terms 1
the 10
things 1
those 1
though 1
through 2
to 8
today 1
towards 1
track 1
venture 1
very 1
was 3
well 1
what 1
which 1
with 6
without 1
worries 1
worse 1
young 1
