19248200
/m/04lh4sj
/m/04lh4sj
Aravind Adiga
2008-04-22
a 15
able 1
about 1
actions 1
addressed 1
almost 1
and 18
as 4
ashok 7
at 1
back 1
bad 1
balram 14
bangalore 1
be 2
become 2
becomes 2
begins 3
between 1
bihar 1
bike 1
bludgeoning 1
born 1
boss 1
bottle 1
bribes 1
broken 1
brother 2
businessman 1
by 7
car 1
certainly 1
child 3
chinese 2
city 1
company 1
consecutive 1
conversations 1
coop 1
corrupt 2
corruption 1
cousin 1
customers 1
darkness 1
day 2
decides 4
delhi 3
describes 1
describing 2
dhanbad 1
disrespects 1
done 1
dowry 1
drive 2
driver 1
drivers 1
driving 2
during 1
dwellers 1
economy 1
eight 1
end 1
entrepreneur 1
escape 1
escaped 1
even 1
eventually 1
evident 1
explains 2
exposed 1
extended 1
extensive 1
family 5
flee 1
for 3
forced 1
frame 1
freedom 1
from 1
further 1
gets 1
government 3
grandmother 2
halwai 1
he 13
help 2
herself 1
him 1
himself 2
his 17
hit 1
hits 1
how 2
however 2
in 14
including 1
increasingly 1
india 1
indias 3
inquiry 1
intends 1
involved 1
is 7
it 1
itself 1
jiabao 1
job 1
juxtaposition 1
kill 1
killed 1
killing 1
kills 1
landlord 1
laxmangarh 2
lazy 1
learn 1
learns 1
letter 2
life 2
liquor 1
lived 1
lives 1
local 1
luckily 1
madam 1
manages 1
messenger 1
missing 1
modern 1
monetary 1
months 1
more 1
moves 1
ms 1
murder 1
murders 1
narrates 1
nephew 1
new 4
next 1
night 1
nights 1
no 2
novel 3
novels 1
of 9
off 1
one 4
only 1
order 2
own 1
parents 1
pay 1
pays 1
pinky 2
place 1
police 3
poor 2
premier 2
protagonist 1
puller 1
quit 1
raining 1
rationalizes 1
reader 1
reported 1
retribution 1
rickshaw 1
robbing 1
rooster 1
run 1
rural 1
saying 1
school 1
separation 1
servant 1
service 1
servitude 1
seven 1
she 1
sister 1
smart 1
so 1
society 1
something 1
son 2
start 1
stork 2
success 1
successful 2
takes 1
taxi 1
teashop 2
tell 1
tells 1
that 9
the 33
their 1
them 1
then 2
there 2
throughout 1
tiger 1
time 1
to 18
trip 1
village 2
wants 1
was 2
way 1
wealthy 2
wen 1
when 1
which 1
while 1
white 1
wife 1
will 2
with 7
work 1
working 1
worried 1
worth 1
wrote 1
young 1
