23454544
/m/0bdc4
/m/0bdc4
William Shakespeare
1623

a 12
accompanied 1
act 1
action 1
actually 1
adam 1
adopt 2
after 2
agree 1
aliena 3
all 1
also 2
an 3
and 31
angry 1
another 1
apocryphal 1
arcadian 1
arden 3
ardennes 1
are 3
argument 1
arrive 1
as 8
at 2
attempts 1
audience 2
audrey 3
banishes 1
be 3
because 1
becomes 1
been 1
being 2
both 1
brother 3
brought 1
but 4
buy 1
by 4
called 1
can 1
cannot 1
causing 1
celia 6
child 1
closest 1
commending 1
companions 1
continually 1
corin 1
cottage 1
counsel 1
court 3
cousin 1
cure 1
daughter 1
decide 1
deciding 1
declines 1
deer 1
discover 1
disguised 4
do 1
duchy 2
duke 5
dukedom 1
dullwitted 1
each 1
encounter 1
epilogue 1
eventually 1
ever 1
exiled 2
fallen 3
falls 1
false 1
faults 1
fifty 1
figure 1
final 1
finally 1
find 1
first 2
flee 2
for 4
forced 2
forest 4
france 2
frederick 4
friend 1
from 2
ganymede 9
gentleman 1
get 1
has 6
having 1
he 4
her 2
him 5
himself 1
his 9
home 2
hundred 1
identified 1
identity 1
if 1
immediately 1
impoverished 1
in 18
including 1
intended 1
interested 1
introduced 1
invitation 1
is 10
jaques 2
jester 1
jove 1
kill 1
kingdom 1
lady 1
latin 1
legitimate 1
life 2
lioness 1
lives 1
living 1
location 1
love 8
malcontent 1
man 1
married 2
marry 5
master 1
may 1
meanwhile 2
meet 1
meets 2
melancholy 2
men 2
mistreating 1
most 1
near 1
not 2
now 3
of 7
offer 1
older 2
oliver 5
on 1
only 1
orlando 9
other 1
out 1
over 2
own 1
page 1
permitted 1
persecuted 1
phebe 5
place 2
play 2
played 1
poems 1
poor 1
possibly 1
posting 1
preferring 1
pretends 1
problem 1
promise 2
relationship 1
religious 2
remain 1
repent 1
repented 1
rescues 1
restore 1
return 1
role 1
rosalind 13
rude 1
said 1
says 2
scene 1
sees 1
senior 1
servant 1
set 1
shakespeare 2
she 2
shepherd 1
shepherdess 2
shows 1
sight 1
silvius 4
simplistic 1
slaughter 1
solve 1
some 1
sometimes 1
soon 1
speaks 1
stay 1
stopped 1
story 1
stranger 1
supporters 1
take 1
takes 1
tenant 1
that 2
the 27
their 2
them 1
they 3
this 1
though 2
threatens 1
to 24
together 2
touchstone 4
town 1
trees 1
tries 1
up 1
us 1
usurped 1
warwickshire 1
ways 1
weeping 1
well 2
where 1
which 2
who 4
whom 2
will 3
william 1
with 12
women 1
woo 1
young 2
