1378539
/m/04xzbv
/m/04xzbv
David Weber
1998
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01smf2": "Military science fiction"}
a 7
across 1
admiral 1
after 1
aggressive 1
alive 1
allies 3
along 1
an 1
and 15
apparently 1
are 4
armada 1
as 3
attack 1
attacks 1
back 1
balance 1
because 1
begins 1
being 1
book 1
both 1
broadcast 1
buried 1
by 2
camp 1
cannot 1
capture 1
captured 1
cathedral 1
charon 1
coffin 1
communications 1
completely 1
control 2
cordelia 1
count 1
dead 1
death 1
defeat 1
defeating 1
definitively 1
destruction 1
devastating 1
elysian 1
empty 1
enemy 1
escape 2
esther 1
evacuate 1
even 1
eventually 1
execution 1
facilities 1
faked 1
favor 1
finally 1
first 1
fleet 1
footage 1
for 1
former 2
from 2
funerals 1
garrison 1
goes 1
grayson 1
graysons 1
hades 2
half 1
hatch 1
havenite 3
having 1
held 2
hell 2
helps 1
her 6
hide 1
hitting 1
holodisc 1
home 1
honor 7
however 2
in 5
inhospitable 1
is 3
launch 1
launches 1
leadership 2
led 1
linking 1
local 1
manticoran 2
manticorans 2
manticore 2
many 1
may 1
mcqueen 2
meanwhile 1
million 1
mission 1
monitoring 1
navy 2
needing 1
new 2
news 2
now 1
of 9
offensive 2
on 8
other 1
outraged 1
party 1
plan 1
planet 4
plotting 1
political 1
possible 1
pows 1
previous 1
prison 1
prisoners 4
ransom 1
reach 1
realize 1
rescue 1
return 1
returns 1
royal 1
security 1
series 1
shift 1
ship 1
ships 1
shocked 1
simultaneous 1
sizable 1
socalled 1
some 1
space 1
state 2
statesec 2
still 2
story 1
surface 1
surprise 1
survived 1
systems 1
taking 1
territory 1
testing 1
that 1
the 26
their 1
they 3
time 1
to 2
travels 1
two 1
under 2
vessels 1
war 1
was 1
weapon 1
when 1
which 1
while 1
with 3
years 1
