974707
/m/03vtl0
/m/03vtl0
Nancy Kress
1993
1 1
13 1
15 1
16 1
16hour 1
17 1
2 1
2008 1
201 1
202 1
2020 1
2025 1
2080 1
22 1
24 1
24hour 1
80 1
a 56
abandon 1
ability 1
about 3
above 2
abused 1
access 1
accident 2
accidentally 1
across 1
act 1
actions 1
active 1
acts 1
adam 1
adjusting 1
advances 1
advantage 1
advocates 1
afoul 1
after 2
afterwards 1
against 4
age 7
ahead 1
airborne 1
alice 7
alienness 1
all 13
allowing 1
allows 1
almost 1
already 2
also 1
always 1
america 6
an 10
analogy 1
and 55
approaching 1
are 13
arlen 3
arranged 1
arrives 1
artist 1
artistic 1
as 10
asks 2
asleep 1
assistant 1
associated 1
at 15
athlete 1
atmosphere 1
attempt 2
attending 1
attention 1
attracting 1
aunt 1
autopsy 1
averted 1
awake 1
babies 1
baby 1
backfires 1
baker 2
ban 1
band 1
bandingtogether 1
bar 1
barred 1
be 14
because 1
become 4
becomes 4
becoming 1
been 6
before 2
beggar 1
beggars 7
begin 1
beginning 1
begins 1
behalf 1
behind 1
being 3
beloved 1
below 1
benefitsmdashhigher 1
bernie 1
bestial 1
between 2
bevington 2
bevingtonwatrous 1
bid 1
bill 1
biological 1
bioweapon 2
book 2
born 4
both 1
bottom 2
box 1
brain 3
bread 1
breakthroughs 1
brother 2
businesses 1
but 11
button 1
buying 1
by 15
calvin 2
camden 4
campaign 1
can 5
cannot 1
capable 2
careful 1
carrying 1
cattaraugus 1
cattleranching 1
cause 1
cell 1
chance 1
charisma 1
child 3
children 4
choice 1
chooses 1
circus 1
circuses 1
cities 2
claims 1
class 1
clear 1
clearly 1
client 1
closest 1
collateral 1
collective 1
color 1
comes 2
community 4
communityfirst 1
compete 1
competitors 1
complete 1
completely 1
complex 1
computer 1
conceived 1
concepts 1
conceptual 1
concerned 1
concerts 1
condition 2
confers 1
confesses 1
confidants 1
considering 1
consistently 1
constantly 2
constitute 1
contents 1
control 1
convenience 1
convinced 1
cope 2
cost 1
could 1
council 3
counsel 1
county 1
create 1
created 1
crossreference 1
culminated 1
cure 1
daddy 1
damage 1
data 1
daughter 4
day 3
days 1
death 1
decide 1
decided 1
decides 1
deciding 1
declares 1
declaring 1
defense 2
defensive 1
delinquent 1
demonstrates 1
demonstration 1
deployed 1
depression 1
deprived 1
describes 1
designer 1
despite 1
destruction 2
determine 1
determined 1
deterrent 1
devised 1
did 1
died 2
dies 1
differently 1
discovered 1
discovering 1
discovers 2
discriminate 1
disposition 1
do 1
doesnt 1
dominant 1
donkeys 1
dont 2
doubtless 1
down 3
dr 2
drawbacks 1
dream 1
dreamer 1
dreaming 1
drew 7
drive 1
due 2
dying 1
each 1
earning 1
earthbound 1
eastindian 1
ecology 1
economic 1
edge 1
elected 1
elite 1
elizabeth 2
else 1
emotions 1
employee 1
encouraging 1
end 1
ends 2
englishwoman 1
enjoy 1
enough 1
enrolling 1
enterprises 2
entire 2
equally 1
equivalent 1
eric 2
errand 1
esp 1
estimated 1
even 5
eventually 1
every 2
evicted 1
evidently 3
exams 2
exchange 1
exclusive 1
experimental 1
expression 1
face 1
faces 2
fact 1
factory 2
faculties 1
fails 1
false 1
far 1
father 1
fatima 1
fellow 1
felt 1
few 2
fifteen 1
filed 1
finally 2
financier 1
finds 1
firm 1
first 3
firstperson 1
fistfight 1
five 1
flair 1
flaws 1
flies 1
flunks 1
for 16
forbid 1
force 2
forced 1
forces 1
forcing 1
form 2
fortress 1
fortunately 1
fostered 1
found 1
foundation 3
founded 1
founder 1
four 1
fraternal 1
friends 1
from 10
funding 1
funeral 1
furthermore 1
gains 1
gap 1
gaps 1
garagedoor 1
gates 1
gene 2
genemod 2
genemods 1
genes 1
genetic 4
geometric 1
go 1
going 1
grades 1
group 1
grow 1
growth 1
had 4
hardwired 1
harmless 1
has 14
haters 1
hatred 1
have 10
having 1
hawke 3
he 16
her 25
heretoforeunknown 1
hers 1
him 3
his 14
holograms 1
holographic 1
home 1
hoping 1
hours 1
housewarming 1
however 2
huge 1
human 2
husband 1
if 1
illegal 1
illustrates 1
immortal 1
immunity 1
implanted 1
impossible 1
in 40
inc 2
including 2
income 1
incomplete 1
incorporated 2
incurable 1
independence 2
independent 1
indicted 1
indivino 2
infeasible 1
information 2
informed 1
informing 1
infrastructure 1
injuries 1
injury 1
inmates 1
install 1
instance 1
instantlyfatal 1
institute 1
intelligent 1
intent 1
internal 1
into 9
introduced 1
involving 1
iq 1
is 41
it 9
its 5
itself 1
jailed 1
january 2
jennifer 13
jerk 1
jewelry 1
jordan 2
just 1
keep 1
keeping 1
keller 2
kevin 2
kidnapping 1
killed 1
knew 1
knocked 1
knowing 1
known 1
knows 1
kuhn 1
lack 1
land 1
last 1
law 1
lead 1
leaderforlife 1
leading 1
learns 1
least 1
leave 1
leaves 1
left 2
legitimacy 1
leisha 22
leisure 1
life 5
lifespan 1
like 1
likewise 1
limbic 1
line 1
linear 1
live 1
liver 1
livers 2
loses 1
lover 1
loyalty 1
