1403294
/m/04zswj
/m/04zswj
Henry Green
1946
16 1
18 1
300 1
35 1
76 1
a 20
about 2
academy 2
accidentally 1
according 1
accosted 1
addition 1
additional 1
adrift 1
adults 1
affair 1
affected 1
after 2
afternoon 1
age 2
aging 1
albino 1
alice 1
all 3
allowed 1
alluded 1
almost 3
also 2
although 1
an 1
and 30
animalism 1
animals 1
another 1
any 5
anyone 1
appalled 1
appear 1
appropriately 1
are 5
around 1
as 8
assume 1
astounded 1
at 9
attentions 1
attractivemdashis 1
away 1
back 1
baker 2
ball 4
be 5
bearing 1
becomes 1
beds 1
beech 2
been 4
before 1
between 1
big 1
birt 5
bit 1
bodies 1
boy 1
breakdown 1
brown 1
budding 1
building 1
but 6
by 11
cat 1
cellar 1
channels 1
characters 1
charges 1
cheek 2
children 1
cigarette 1
climbing 1
club 2
colleague 1
colourless 1
comes 2
compound 1
conclusions 1
consists 1
constantly 1
consumed 1
conversation 1
cottage 2
cottagemdashthe 1
could 1
course 2
courtly 1
crosspurposes 1
daisy 1
dance 2
dancing 1
day 3
days 2
dazed 1
deaf 2
deliberately 1
describes 1
difficulties 1
difficulty 1
display 1
down 1
downstairs 1
drag 1
dressed 1
each 1
ear 1
earlier 1
economics 1
edge 8
educators 1
elderly 1
elizabeth 3
eloped 1
end 2
enjoys 1
entertainment 1
especially 2
ever 1
everything 1
experiences 1
eyesight 1
fact 1
facts 1
fallen 1
fearing 1
feel 1
few 2
finds 1
firmly 1
first 1
floating 1
for 10
formal 1
fortnight 1
found 1
founder 1
foundermdashwithout 1
fourteen 1
from 4
fun 1
gapa 1
generally 1
get 1
gets 1
girls 7
glued 1
go 1
going 1
good 1
goose 1
granddaughter 3
grandfather 1
granted 1
grounds 1
guests 1
had 1
happened 2
happy 1
has 12
have 3
having 2
he 7
head 1
held 1
her 10
hermione 1
herself 1
hesitant 1
him 4
himself 1
hinting 1
his 14
home 1
honour 1
hopelessly 1
however 2
i 1
idiosyncrasies 1
immediately 1
impressed 1
in 22
inception 1
including 1
indistinguishable 1
indulges 1
inform 1
initially 1
inn 1
instances 1
institute 1
interpreted 1
interrogated 1
into 1
introduce 1
invited 1
involved 1
is 21
it 3
its 1
joints 1
kissing 1
lack 1
lake 1
lassitude 1
late 1
later 1
learns 1
leaves 2
letter 1
life 1
live 1
lives 1
local 1
locked 1
longer 1
lots 1
love 1
m 1
mabel 1
mainly 2
maintaining 1
male 1
man 3
many 2
margot 1
marion 1
marriage 1
mary 4
matters 1
mean 1
meanwhile 1
melissa 1
memory 1
men 2
mentioned 1
merode 5
midget 1
might 1
mirabel 1
miss 2
missing 2
misunderstanding 1
moira 1
morals 1
more 2
morning 1
mr 2
much 1
must 1
names 1
narrator 1
naturally 1
nearby 1
neither 1
nemesis 1
nervous 1
never 1
night 1
no 1
noon 1
not 2
novel 1
occurs 1
ocean 1
of 26
office 1
official 1
old 1
older 1
on 2
one 7
only 3
opening 1
or 5
order 2
other 3
others 1
out 3
outside 1
own 1
part 1
partly 1
past 1
people 1
petsmdashhis 1
place 1
pleasant 1
pointing 1
police 1
politely 1
poor 1
post 1
preparations 1
principals 1
privilege 1
problems 1
proposing 1
put 1
putting 1
quickly 1
rather 1
reached 1
reader 1
reality 1
realizing 1
really 1
recently 1
recovering 1
referred 1
regarded 1
regulations 1
rejects 1
relatives 1
reluctant 1
remainder 1
remains 1
rendered 1
report 1
requests 1
rest 1
retired 1
returned 1
returns 1
rid 1
right 1
rock 13
rumours 1
run 1
sage 3
same 1
saying 1
school 7
scientist 1
sebastian 3
secret 1
secretly 2
secure 1
services 1
setting 1
several 1
sex 1
sexualitymdashthey 1
she 5
short 1
sign 1
since 1
slept 1
so 1
some 6
somewhat 1
sow 1
spends 1
spinsters 1
spreading 1
springclean 1
staff 3
start 1
starting 1
state 1
statement 1
station 1
steps 1
stiff 1
still 1
stout 1
stressed 1
students 1
submitted 1
such 1
suggestion 1
supervisor 1
suppressed 1
sure 1
swimming 1
sympathetic 1
take 1
taken 2
talk 1
teachers 1
teaching 1
ted 1
teenage 1
temporarily 1
temptation 1
ten 1
tether 1
than 1
that 5
the 62
their 8
then 1
there 2
these 1
they 4
theyre 1
think 1
thoroughly 1
time 5
to 25
tobaccofueled 1
together 1
touch 1
tree 1
trunk 1
turn 2
turns 3
tutor 1
twenties 1
two 4
unconscious 1
undecided 1
under 1
unexpectedly 1
up 5
upon 1
use 2
used 1
usual 1
very 2
vicinity 1
virtually 1
want 2
wanted 1
was 1
water 1
well 1
what 4
when 3
where 4
which 3
while 1
who 6
whole 1
will 1
willing 1
winstanley 1
with 15
without 4
woman 1
women 1
worse 1
worst 1
written 1
yearold 2
years 2
young 3
