9196305
/m/027_xkd
/m/027_xkd
Minette Walters
2005-09-08
2002 1
a 9
about 3
adversary 1
again 1
agency 1
airport 1
and 4
are 1
as 1
avoiding 1
baghdad 1
based 1
be 1
been 1
befriends 1
begins 1
between 1
borrows 1
british 1
britishzimbabwean 1
brutality 1
brutally 1
burns 5
but 3
by 1
case 1
coast 1
colleagues 1
community 2
conflict 1
connie 1
correspondent 1
cover 1
days 1
deciding 1
decision 1
derbyshire 1
difficult 1
discrete 1
dorset 1
encounters 1
england 1
enquiries 1
escaping 1
expatriate 1
family 1
five 1
following 1
for 3
former 1
frightened 1
from 2
guard 1
has 1
have 1
hazardous 1
hear 1
her 10
herself 2
him 1
his 1
hotel 1
house 1
in 4
incidents 1
including 1
iraq 1
is 5
isolated 1
jess 2
journalist 1
keen 1
kidnapped 1
kingdom 1
known 1
later 2
leasing 1
leone 1
loal 1
make 1
makes 1
mercenary 2
more 1
murdered 1
named 1
of 2
off 1
on 4
ordeal 1
other 1
parallels 1
past 1
privacy 1
proves 1
ransacked 1
reclusive 1
release 1
released 1
remote 1
repeatedly 1
reporters 1
reports 1
return 1
returns 1
reuters 2
room 1
security 1
seeing 1
series 1
sets 1
she 5
sierra 1
stationed 1
strength 1
suspects 1
take 1
the 10
third 1
three 1
throughout 1
time 1
to 10
tragedy 1
trying 1
two 1
united 1
upon 1
violence 1
war 1
way 1
which 1
while 2
who 4
woman 3
women 1
working 1
years 1
