7501814
/m/0263mz_
/m/0263mz_
Lady Morgan
1806
{"/m/02ql9": "Epistolary novel", "/m/01qxvh": "Romance novel"}
a 2
accumulating 1
acquires 1
after 1
an 2
ancestors 1
and 3
as 1
banished 1
by 2
castle 1
catholic 1
coast 1
connacht 1
conquest 1
consists 1
county 1
cromwellian 1
culture 1
debts 1
dilapidated 1
displaced 1
earl 1
estate 1
falls 1
father 1
finds 1
for 2
friend 1
gaelic 1
glorvina 1
he 2
his 3
history 1
hon 1
horatio 2
ie 1
in 1
ireland 1
irish 2
is 1
jd 1
large 1
letters 1
love 1
m 2
mayo 1
mp 1
named 1
new 1
nobility 1
northwest 1
novel 1
of 6
on 1
princess 1
punishment 1
remnants 1
respect 1
son 1
that 1
the 7
to 2
was 1
with 1
written 1
