33201796
/m/0h65n59
/m/0h65n59
Ayu Utami


a 16
about 1
academic 1
acquire 1
activist 1
advances 2
advocate 1
after 1
although 1
and 18
as 3
aspects 1
assisted 1
at 1
attempt 3
attracted 1
away 1
balinese 1
because 1
become 1
becomes 2
becoming 1
beginning 1
between 1
bisexual 1
both 2
broken 1
but 2
by 5
captured 1
cares 1
catholic 3
central 1
chapter 6
childhoodincluding 1
cok 5
community 2
confinement 1
consists 1
covers 1
cultural 1
dancer 1
debate 1
declines 1
demon 1
depressed 1
describes 1
different 1
discussing 1
dislikes 1
distressed 1
drawn 1
during 2
duty 1
efforts 1
ejaculated 1
emails 1
embracing 1
end 1
entirety 1
entry 1
escapades 1
eventually 2
fails 1
fantasy 1
feels 1
female 1
first 1
follows 1
for 2
foreign 1
former 1
four 1
fourth 1
friend 1
friends 1
from 3
fugitive 1
ground 1
had 1
have 1
having 1
he 5
her 3
high 2
him 3
hired 1
his 6
how 1
however 1
human 2
in 2
increasingly 1
initially 1
insecurities 1
into 1
is 7
jakarta 1
javanese 1
journalist 1
kills 1
laila 5
land 1
last 1
lawyer 2
liberated 1
libido 1
local 1
lose 1
make 1
married 3
medan 1
meeting 1
members 1
met 1
middle 1
minangkabau 1
mother 1
muslim 1
new 2
night 1
notes 1
of 9
on 1
other 1
out 1
park 1
planning 1
plantation 2
point 1
priest 2
priesthood 1
protagonist 1
protect 1
quickly 1
raze 1
realises 1
recounts 1
relationship 1
relinquishing 1
resist 1
resistance 1
rights 2
rubber 1
saman 7
school 1
second 1
sent 1
sex 1
sexual 2
sexualised 1
sexuality 1
sexually 1
shakuntala 5
she 3
sihar 3
spirited 1
spiritual 1
still 1
supports 1
surviving 1
tapping 1
target 1
teenager 1
tells 1
that 3
the 24
their 3
then 1
there 1
third 1
those 1
thugs 1
titular 1
to 8
tortured 1
toward 1
towards 1
turned 1
view 1
virginity 1
waiting 1
who 2
wife 1
with 3
woman 1
worldhis 1
written 1
yasmin 8
york 2
