20242250
/m/04zxmv0
/m/04zxmv0
Ngaio Marsh
1935
{"/m/028v3": "Detective fiction"}
a 13
about 1
actually 1
acute 1
admits 1
afar 1
affair 1
affiliated 1
after 3
against 1
alleyn 7
almost 2
also 2
amanuensis 1
an 5
anaesthesia 1
anaesthetic 1
anaesthetist 2
anarchism 1
anarchist 1
anarchists 2
and 22
any 1
apparently 1
appendicitis 1
arranges 1
as 4
ask 1
assistant 1
assisted 1
at 2
attends 1
authorities 1
avowed 1
banks 3
bark 1
bathgate 1
been 3
before 1
begs 1
believer 1
bill 1
bite 1
blown 1
blows 1
bolts 1
both 1
british 1
brother 1
brushes 1
brutally 1
building 1
bullying 1
but 3
by 7
calls 1
carries 1
cart 4
charge 1
checks 1
circulating 1
claims 1
come 1
committed 2
commons 1
communism 1
communist 2
completely 1
constant 1
contemporary 1
controlled 1
convinced 1
could 1
crime 1
day 1
deal 1
death 3
derek 1
died 1
dies 1
digging 1
disguise 1
dismissal 1
does 1
doubles 1
doubt 1
dozens 1
dr 3
drug 1
during 3
duty 1
earlier 1
easy 1
end 2
entire 1
epilogue 1
erupts 1
ether 1
eugenics 1
even 1
ever 1
expounding 1
expresses 1
fallen 1
family 2
feelings 1
fight 1
finally 1
finds 3
firm 1
for 4
fox 1
friend 1
from 7
front 1
frustrated 1
get 1
goes 1
going 1
had 3
happen 1
harden 6
has 9
have 4
having 1
he 10
her 5
hereditary 1
him 3
himself 2
his 12
holding 1
home 3
hospital 1
hour 1
hours 2
house 1
husband 3
hyoscine 2
hysteric 1
immediately 1
in 10
incapacitated 1
informs 1
injected 1
insane 1
insults 1
into 1
introducing 1
is 9
it 3
jane 5
john 1
just 1
justified 1
lady 1
late 1
later 3
learns 1
led 1
letter 3
life 1
loved 2
marigold 2
matron 1
medicine 1
meeting 1
member 2
moment 1
months 1
more 1
moved 1
moviemind 1
mp 1
murder 1
murdered 1
murders 1
near 1
next 1
nigel 1
not 2
notches 1
nurse 7
nursing 1
ocallaghan 12
of 15
old 1
on 4
one 3
only 1
operate 1
operation 4
or 1
out 3
outspoken 1
over 2
overdose 1
own 1
papers 1
peritonitis 1
persons 1
phillips 11
physician 1
pleading 1
point 2
points 1
possible 1
prevent 1
private 1
produced 1
quack 1
quickly 1
rage 1
received 1
receiving 1
reenactment 2
regard 1
relationship 1
remarks 1
remove 1
removed 1
rests 1
return 1
reveals 1
roberts 8
roderick 1
room 1
scotland 1
screaming 1
scrub 2
secretary 1
servant 1
several 1
she 2
short 1
shortly 1
shown 1
shrill 1
similar 1
sir 2
sister 4
so 1
society 2
some 1
stalinist 1
stethoscope 1
such 2
suicide 1
surgeon 1
surgical 1
suspicion 1
syringe 1
taint 1
tainted 1
taking 1
team 1
testified 1
than 1
that 16
the 35
things 1
thoms 1
threatening 1
threatens 1
threats 3
through 1
to 14
together 2
top 1
topic 1
toward 1
turns 1
unable 2
unaware 1
unbalanced 1
unintelligent 1
up 1
usage 1
used 1
vicious 1
visit 1
visits 1
was 3
weak 1
weakens 1
week 1
well 1
when 2
which 2
who 2
whose 1
wife 1
will 1
wishes 1
with 7
worth 1
would 1
yard 1
years 1
