20509942
/m/0524qtp
/m/0524qtp
Harry Turtledove


advance 1
algarve 1
algarvian 1
algarvians 1
and 6
are 2
as 1
attacks 1
back 1
behemoths 1
blitz 1
border 1
both 1
by 2
causes 1
cities 1
corner 1
cottbus 2
divergent 1
enter 1
first 1
for 1
forthweg 1
ghettos 1
grelz 1
gyongyos 1
halted 1
herded 1
ice 1
in 3
interrupted 1
into 2
invades 1
is 2
its 1
just 1
kaunians 2
killed 1
killing 2
kuusamo 1
lagoas 1
land 1
larger 1
logistics 1
magical 2
mountains 1
mud 1
northwest 1
of 3
on 1
outside 1
own 1
passes 1
peasants 1
pekka 1
people 1
power 1
pushes 2
series 1
snowshoes 1
stall 1
start 1
starts 2
tealdo 1
thalfang 1
the 9
their 1
through 2
to 3
toward 1
towns 1
unkerlant 3
unkerlanter 1
war 1
west 1
which 2
winter 1
with 1
yliharma 1
