27084761
/m/0bs4tfq
/m/0bs4tfq
Melissa Marr
2010-04-24
a 9
ability 1
about 2
agreeing 1
all 1
allows 1
along 1
also 2
an 2
and 25
ani 14
as 2
assassin 1
at 1
attention 1
awakens 1
away 1
baby 1
backstory 1
balance 2
bananach 8
barracuda 1
barry 1
be 3
becomes 1
been 3
between 1
binding 1
blood 4
book 1
both 2
breath 2
but 3
by 2
can 2
cannot 2
century 1
child 1
contacts 1
court 7
crows 1
cuts 1
dark 2
darkest 1
day 1
demands 1
devlin 13
different 2
dissolve 1
dissolves 1
do 1
drains 1
draws 1
dream 2
dreamwalker 1
drink 1
due 2
emotions 1
energy 1
enter 1
enters 1
essence 1
events 1
exchange 1
eye 1
faerie 8
faery 1
father 1
feed 1
fight 1
final 1
find 1
fit 1
for 3
form 1
former 1
fortnight 1
forward 1
found 1
from 2
front 1
gabriel 1
get 1
girl 1
give 1
gives 1
goes 1
hadnt 1
halfling 2
has 4
he 4
healing 1
help 1
her 12
hers 1
high 5
him 5
himself 1
his 4
hounds 2
however 2
huntsdale 1
identify 1
in 9
informs 2
injured 1
ink 1
inside 1
interest 1
introduce 1
irial 3
is 4
it 3
itradiant 1
keep 1
kill 3
killed 2
killing 2
king 2
knife 1
knowledge 1
last 1
later 1
leave 2
leaves 2
life 1
love 1
meanwhile 2
meet 1
members 1
mercy 1
met 1
mortal 6
name 1
names 1
neither 2
nest 1
never 1
niall 3
not 1
novel 1
obsessed 1
of 12
on 2
one 1
only 1
or 1
ordering 1
other 3
out 1
pays 1
performing 1
poisoning 1
present 1
presumably 1
prologue 1
protectiveness 1
queen 2
rabbit 1
radiant 1
rae 4
referring 1
remedied 1
return 2
returned 1
revealed 1
rulership 1
says 1
scared 1
seal 1
seth 5
shadow 2
shadows 2
she 5
shelter 1
short 1
should 2
show 1
shows 1
sister 2
skips 1
so 1
son 1
soon 1
sorcha 5
spared 1
spectral 1
stab 1
starts 2
state 1
stay 1
steed 2
strengthen 1
successor 1
taking 1
taste 1
tells 2
tests 1
that 9
the 31
them 2
then 4
they 3
this 5
through 1
throws 1
tish 1
to 26
together 2
told 1
touch 1
tries 1
turn 1
twins 1
unclaimed 1
unfortunately 1
veil 1
visit 1
war 1
warning 1
was 1
watch 1
way 1
what 1
when 1
where 1
which 1
who 1
whose 1
will 2
wishes 1
with 5
without 4
world 3
worlds 1
would 1
wound 1
