16170773
/m/03wbtjx
/m/03wbtjx
Ansen Dibell

08773862 1
0877603 1
0877750 1
178 1
181 1
182 1
183 1
185 1
a 8
accompany 1
adventures 1
after 1
again 1
age 1
allowed 1
also 1
among 1
an 1
and 6
animal 1
another 1
are 4
around 1
at 1
aux 1
beautiful 1
between 1
books 3
bremner 1
brought 1
by 3
called 1
circle 1
competing 1
confins 1
creature 1
crescent 1
cycle 1
daw 3
de 2
dead 1
death 1
desert 1
dies 1
discovers 1
downstream 1
du 1
duel 1
dutch 4
each 1
edition 4
emotions 1
empathy 1
end 3
endless 1
family 2
favorite 1
february 1
feel 1
female 1
few 1
filled 1
find 1
follows 1
fragile 1
french 4
get 1
gift 1
gifted 1
grand 1
guiding 1
he 3
her 1
him 2
his 1
huge 1
humanoid 1
hunted 1
immortal 1
in 5
instincts 1
intelligence 1
is 6
isbn 3
jannus 7
july 1
june 1
kantmorie 1
le 1
leader 1
lillia 1
limit 1
location 1
louragan 1
lur 1
male 1
married 1
mature 1
merchant 2
mistress 1
near 1
newstock 1
nine 1
number 2
of 12
old 1
one 2
only 2
persuades 1
pity 1
poli 3
power 1
protected 1
published 2
pursuit 1
quick 1
rare 1
reach 2
rebirthing 1
reborn 1
regenerations 1
retour 1
return 2
river 2
ruler 1
saves 1
screamer 3
serve 1
served 1
service 1
sexually 1
shai 2
ship 1
soleil 1
son 1
star 2
stormvloedgrens 1
strange 1
summerfair 1
sun 1
tall 1
tek 5
teks 1
tells 1
ten 2
that 4
the 32
their 1
themselves 1
thirty 1
thousand 1
tidestorm 1
time 1
to 10
together 1
translations 2
trying 1
valde 8
van 1
village 1
villages 2
wants 1
warriors 2
watching 1
when 1
where 1
while 1
who 3
with 4
without 1
world 1
years 3
yrsmits 1
