1395369
/m/04z6b6
/m/04z6b6


{"/m/02n4kr": "Mystery"}
a 9
able 1
adventurer 1
after 1
an 3
and 3
another 1
appears 1
are 1
as 2
at 1
be 1
before 1
begin 1
being 1
brought 1
by 1
czech 1
daughter 1
dead 4
during 1
end 1
england 1
expanse 1
explanation 1
fly 1
footprints 1
from 2
gather 1
group 3
held 1
help 1
hero 1
him 1
himself 1
husband 2
impossibilities 1
in 4
including 1
instrument 1
is 3
it 3
kincaid 1
land 1
like 1
locked 1
lodge 1
logging 1
looks 1
man 3
medium 2
middle 1
murder 2
murderer 1
mystery 1
new 1
northern 1
of 10
one 2
only 1
open 1
order 1
others 1
over 1
people 1
permission 1
pile 1
police 1
possess 1
reach 1
refugee 1
remarried 1
remote 1
returns 1
rogan 1
room 1
seance 2
seems 1
snow 1
snowbound 1
solve 1
spirit 1
supernatural 1
taken 1
takes 1
that 2
the 17
to 8
tract 1
up 1
upon 1
using 1
wants 1
who 2
wilds 1
windigo 1
with 1
