625998
/m/02y2q4
/m/02y2q4
Paul Auster
1990
a 30
abandoned 1
about 1
absent 1
accepts 1
accrued 1
across 1
add 1
addition 1
after 2
against 1
all 1
also 1
amiable 1
amount 1
an 1
and 22
another 1
are 3
as 7
at 3
aunt 1
bachelors 1
back 2
backfires 1
be 1
bear 1
beaten 1
beats 1
become 1
begins 1
begun 1
behind 2
being 1
blind 1
bought 1
build 2
but 5
buys 1
by 4
calvin 1
cannot 1
car 3
card 1
cards 1
castle 1
celebrate 1
charges 1
checked 1
child 2
claims 1
coincidently 1
collateral 1
collides 1
coma 1
completed 2
conspicuously 1
continues 1
contract 1
convinced 2
country 1
couple 1
cracking 1
cromwell 1
daughter 3
day 1
days 1
debt 3
debts 1
decency 1
decides 1
destroyed 1
died 1
dies 1
distant 1
dollars 1
driving 1
each 1
eccentrics 1
eightyfive 1
enough 1
escapes 1
estate 1
even 1
ever 1
everything 1
exercise 1
father 1
favor 1
fifteenthcentury 1
fifty 2
finds 1
fireman 1
fleece 1
flower 7
floyd 3
for 4
forget 1
forth 1
fortune 2
freedom 1
friend 2
from 2
gambler 1
gambling 1
game 2
gets 1
grass 1
grows 1
gun 1
happier 1
has 4
hatch 1
hatred 1
have 3
having 1
he 6
her 2
him 2
himself 1
hired 1
his 12
hospital 2
hotheaded 1
hour 1
human 1
immediacy 1
in 4
indenture 1
injuries 1
innocence 1
intend 1
into 2
irish 1
is 4
it 1
jack 1
jim 1
joke 1
juliet 2
just 1
knowing 2
large 1
later 2
leaving 1
left 1
less 1
life 1
live 1
living 1
loses 1
lottery 1
man 1
mansion 2
marks 1
meadow 2
meaningless 1
men 4
miles 1
millionaires 2
money 2
months 1
more 4
murks 8
named 1
nashe 19
new 1
no 1
nobody 1
not 1
nothing 2
novel 1
now 1
obsessed 1
obtained 1
of 16
off 4
old 1
oliver 1
on 5
out 4
over 1
owes 1
pass 1
passes 1
pay 2
pays 1
picks 1
pile 1
plan 2
play 1
poker 1
pool 1
pot 1
pounds 1
pozzi 8
promptly 1
proof 1
purchasing 1
pursues 1
puts 1
raise 1
realizes 1
refuses 1
rest 1
result 1
revenge 1
risk 1
ruins 1
run 1
saab 2
same 1
saying 1
see 1
sees 1
sends 1
shrugs 1
since 1
single 1
sister 1
six 1
sixty 1
slave 1
slightly 1
smart 1
sober 1
son 1
soninlaw 1
soon 1
spending 1
sporadic 1
sprawled 1
squandered 1
stone 7
stones 2
suckers 1
suddenly 1
swing 1
take 1
takes 4
taking 1
tells 1
ten 1
than 2
that 8
the 36
their 4
them 2
themselves 1
there 1
they 1
this 3
thousand 1
three 1
time 2
to 16
too 2
tough 1
turn 1
two 7
twoyearold 1
unfortunately 1
up 3
use 1
vanished 1
vehicle 1
views 1
violation 1
visits 1
wailing 1
wall 5
watched 1
way 2
wealthy 1
wearing 1
weeks 1
weighing 1
were 1
wheel 1
when 2
while 1
who 1
wife 1
will 3
winning 1
with 6
won 1
work 3
working 1
year 1
young 2
