2827217
/m/08577d
/m/08577d
Richard Peck
2000-10
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
137 1
15yearold 1
250 1
5milehike 1
a 24
abernathy 1
alice 17
american 1
amusement 1
an 3
and 18
annual 1
anonymous 1
another 1
anything 1
armistice 1
arnold 2
arrangement 1
arrives 2
article 1
artist 1
as 7
at 3
attic 1
au 1
augie 1
august 1
auxiliary 1
baby 1
back 1
bang 1
banker 1
barefoot 1
be 1
believing 1
bells 1
beloved 1
best 1
boarder 1
bootsie 1
borrowed 1
boyroyce 1
brazenly 1
brings 1
bully 1
bumpkin 1
burdick 2
but 2
butler 1
buys 1
by 2
cameos 1
carleen 3
cashier 1
cat 1
chicago 3
childhood 1
choice 1
christmas 2
coat 1
combat 1
come 1
community 2
couldnt 1
country 2
countrylife 1
cracks 1
crush 1
daughters 1
dawn 1
day 4
demanding 1
depression 1
develops 1
different 1
dimeacupbut 1
dishes 1
dollarbut 1
dollars 1
dowdel 7
down 3
downstate 1
drops 1
effie 1
eke 1
ends 1
english 1
exchange 1
extra 1
faced 1
family 1
far 1
farming 1
find 1
finds 2
first 1
five 1
fluke 1
focuseddate 1
follows 1
fools 1
for 9
foxes 1
friend 1
from 3
front 1
gal 1
gassed 1
gets 1
getting 1
given 1
glue 2
grandma 16
grandmother 1
great 1
green 3
habit 1
halloween 1
hard 1
has 1
having 1
hayride 1
he 2
head 1
help 2
her 6
hesitates 1
hicksville 1
high 1
hit 1
hoitytoity 1
home 2
homebaked 1
hooligan 1
horse 1
hosts 1
hot 1
however 1
if 1
ii 1
illegitimate 1
in 17
inarae 1
inaray 1
injured 1
instant 1
interest 1
into 1
introducing 1
invites 1
is 9
it 1
joey 1
jr 1
just 2
keeps 1
kingdom 1
knocking 1
knot 1
ladies 1
learns 1
leaves 1
leaving 1
legion 1
less 1
letters 1
live 1
living 1
lj 2
local 2
longlost 1
loses 1
lovejoy 1
luckily 1
ma 1
made 1
making 1
manger 1
mary 17
matchmaker 1
matter 1
maxine 2
mcnabb 1
mcnabbarrives 1
meager 1
meanwhile 1
mildred 5
miss 1
money 2
moonlit 1
more 2
mother 1
mr 1
mrs 3
naked 1
natural 1
new 3
newspaper 1
night 1
nights 1
no 1
nononsense 1
noon 1
november 1
now 1
nude 1
october 1
of 9
on 5
one 1
or 1
ostensibly 1
other 1
out 1
over 1
pa 1
pageant 2
painting 1
pan 1
party 1
patch 1
paywhatyoucanafford 1
pecans 1
philco 1
pies 1
plenty 1
porch 1
postmistress 1
prefers 1
prehalloween 1
pressuring 1
price 1
privies 1
prized 1
promising 1
prove 1
publicly 1
pumpkins 1
radio 1
raises 1
ran 1
remembers 1
returns 1
revolution 1
ring 1
rises 1
royce 5
school 3
schoolyear 1
sent 2
september 1
serve 1
set 1
shamed 1
she 2
shine 1
shock 1
shoot 1
side 1
silent 1
sister 1
slyly 1
snake 1
snob 1
son 1
spotlight 1
spring 1
steal 1
stew 1
sticks 1
stirs 1
strategically 1
strung 1
study 1
submitting 1
survives 1
sweeter 1
tables 1
takes 1
tea 1
teacher 1
teen 1
tenderhearted 1
than 2
that 4
the 36
this 1
thrilled 1
through 1
ticket 1
tie 1
till 1
time 2
to 10
tornado 1
town 2
train 2
trapping 1
treats 1
trickery 1
tricks 1
tried 1
trips 1
trouble 2
turkey 1
turns 2
tyrant 1
untying 1
up 5
using 1
valentine 2
veteran 1
view 1
virgin 1
war 2
was 1
wedding 1
weidenbach 2
wheelchair 1
when 4
while 1
whom 1
whopping 1
wilcox 1
winter 1
wire 1
with 14
world 1
wraps 1
wrong 1
year 3
yonder 1
york 1
