10407216
/m/02qbzlq
/m/02qbzlq
Georgia Byng
2007-10-05
6yearold 1
a 6
able 1
about 2
after 2
ago 1
all 3
also 1
an 1
and 14
are 2
as 1
ask 1
asks 1
at 1
attempts 1
away 1
back 5
been 2
beginning 1
best 2
birds 1
birth 1
black 1
blanc 2
blancia 2
briersville 1
bring 1
brother 3
by 5
can 2
caught 1
concocted 1
control 1
covered 1
crystals 2
day 2
discovers 1
do 1
doing 1
end 2
escape 2
evil 2
fact 2
fang 9
far 1
finally 1
five 2
fluid 1
follow 1
for 1
freezes 1
friend 2
from 1
future 1
gains 1
gather 1
genetic 1
genius 1
get 2
gets 6
given 1
gives 1
group 1
guards 1
had 1
has 2
he 4
help 1
helping 1
helpless 1
helps 1
her 18
heroine 1
herself 1
hightech 1
him 3
his 1
home 2
horrible 1
however 3
hundred 2
hypnotic 1
hypnotism 1
hypnotize 2
hypnotized 2
hypnotizes 1
hypnotizing 1
if 1
in 10
including 1
information 1
injected 1
into 4
is 6
it 1
just 1
kidnapper 1
kill 1
king 1
klaucus 3
knowledge 2
leave 1
leaves 1
leaving 1
longlost 1
losing 1
machine 4
made 2
meekles 1
mentions 1
mercury 1
mickey 1
micky 10
mind 6
mindreading 1
minus 1
mission 1
molly 17
mont 3
moon 1
mount 1
much 1
mutants 1
named 1
needed 1
new 2
nurse 1
of 8
on 3
once 2
order 1
orders 1
over 1
past 2
people 3
persuade 1
persuasion 1
petula 2
plan 1
position 1
power 1
powers 3
present 1
presents 1
pretending 1
princess 10
promised 1
pug 1
reading 2
realize 1
rescue 1
rocky 5
rulers 1
save 1
she 8
sick 1
side 1
silver 1
situation 1
skill 1
skills 1
small 1
snow 1
so 2
spite 1
starts 1
still 1
stops 1
take 1
takes 2
taking 1
tells 1
that 5
the 24
their 1
then 3
there 1
they 3
theyve 1
think 1
this 1
throne 2
time 4
to 19
too 1
traveler 1
travels 1
tries 1
true 1
try 2
twin 1
two 1
under 1
useless 1
uses 1
using 3
village 1
was 2
were 1
when 2
where 1
who 1
wildgust 2
with 3
worker 1
years 2
zoo 1
