5980075
/m/0fhx0p
/m/0fhx0p
Mike Davis
2000-12
{"/m/03g3w": "History", "/m/05h83": "Non-fiction"}
1 5
1870s 1
2 5
3 4
4 1
about 1
and 6
around 1
at 1
book 1
brazil 1
british 1
capital 1
chapters 4
china 1
climates 1
colonial 3
contains 1
davis 1
deals 1
describes 1
drought 1
eat 1
effect 1
effects 1
empire 1
enso 1
famine 1
feast 1
final 1
four 1
further 2
ghosts 1
government 2
gunboats 1
has 1
hell 1
homes 1
hunger 1
impact 1
in 4
india 1
into 2
is 2
it 1
its 1
livelihood 1
lives 1
mandates 1
messiahs 1
millenarian 1
modernization 1
monsoons 1
mystery 1
nordeste 1
occurred 1
of 11
on 2
origins 1
part 4
parts 1
people 1
policy 1
poor 1
poverty 1
race 1
reactions 1
revoked 1
revolutions 1
section 2
skeletons 1
subdivided 2
subjects 1
that 1
the 26
their 1
third 1
this 2
three 2
two 1
various 1
victoria 1
with 1
world 2
writes 1
