1642887
/m/05k16p
/m/05k16p
Robert Jordan
1980-02-01
1760s 1
a 26
abuse 1
abused 1
abusing 1
accident 1
accidentally 1
actions 1
adopted 1
adventuring 1
africa 1
after 2
against 1
age 1
aiding 1
alanin 1
alcohol 1
aligning 1
all 1
allowing 1
allows 1
alone 1
although 1
amends 1
america 2
american 3
an 6
and 37
another 2
are 1
arms 1
army 1
arranges 1
as 6
assassinations 1
assassins 1
astonished 1
at 4
attempt 1
avoids 1
away 3
back 2
barbary 1
bastard 2
bastards 1
battle 1
be 1
bears 1
beaten 1
became 3
because 1
becomes 2
before 3
beginning 1
benefit 1
between 1
birth 1
blind 1
blood 3
bloodline 1
boat 1
born 1
both 4
bound 1
breaks 1
breeding 1
breeds 1
bridging 1
brother 1
brothers 1
brutal 1
building 1
burden 1
buried 1
buries 1
business 1
but 1
by 7
can 1
cared 1
carolina 1
carver 4
casually 1
catherine 4
causes 1
cavanaugh 1
centuriesworth 1
chardonnay 1
charges 1
charleston 3
charollete 1
chasm 1
child 4
children 1
choice 1
circumstance 1
close 2
clothes 1
coaxing 1
colonel 3
colonies 2
come 1
command 1
complications 1
confronts 1
constant 1
content 1
continues 1
converge 1
culloden 1
culminated 1
dabbled 1
damage 1
dangers 1
daughter 3
day 1
de 1
dead 1
death 2
deceased 1
defense 2
desire 2
despite 1
destitute 1
determination 1
develops 1
did 1
died 3
distant 1
does 1
doubt 1
drawing 1
drunk 1
due 1
dueled 1
during 2
easily 1
eaten 1
edouard 1
education 1
edward 5
elizabeth 13
end 1
endurance 1
endured 1
enduring 1
enemies 1
english 1
englishman 3
enough 1
entangled 1
escaping 1
eve 1
eventually 1
exasperates 1
face 1
faith 1
fallon 18
falls 2
family 10
fateful 1
father 8
fed 1
feelings 2
fell 1
fifteen 1
fighting 1
fights 1
finally 2
find 2
finding 1
fire 1
first 3
flee 1
flees 1
flirtation 1
food 1
for 11
force 1
forced 2
forces 1
forcibly 1
forget 1
fought 1
fourrier 7
french 2
friends 1
from 4
fruitful 1
full 1
further 1
future 1
gabrielle 7
gautier 1
girl 2
give 2
goes 1
good 1
grief 2
grinded 1
grogan 1
grown 1
grows 1
guard 1
had 1
halfsister 2
halfuncle 1
hand 2
has 6
hate 1
hatred 2
he 19
health 1
henri 1
henry 1
her 9
heritage 1
hiding 1
high 1
him 8
himself 2
his 46
hope 2
hopefully 1
horizon 1
horrified 1
horses 1
house 1
household 1
however 3
if 1
in 25
incest 1
incestous 2
indentured 2
infatuation 1
inheritance 1
instantly 1
instead 1
instill 1
intents 1
into 4
introduced 1
invincible 1
involve 1
ireland 2
irish 3
irishman 1
ironic 1
is 12
it 2
james 10
jealousy 2
just 1
justin 10
keep 1
kidnapping 1
killed 2
killing 1
kills 1
labor 1
lacks 1
land 1
last 2
later 2
leads 1
leaked 1
left 2
legacy 2
less 1
life 3
lifechanging 1
lifetimes 1
like 3
line 2
livid 1
look 1
looms 1
loses 1
louis 1
louise 3
love 3
lover 1
loves 1
lucien 1
lucille 1
luck 1
made 2
make 2
makes 1
malnutrition 1
man 2
managed 1
manipulated 1
marriage 2
married 1
marries 1
marry 1
martin 1
mcconnell 1
mcdonnel 1
men 1
mended 1
merchant 1
met 1
mexico 1
michael 29
minor 1
misery 1
missouri 1
mistress 2
mogul 1
moira 3
moment 1
moments 1
more 2
most 1
mother 2
move 1
much 1
murad 2
must 1
name 3
named 2
nation 1
new 3
news 1
next 1
niece 1
night 1
no 2
noble 3
nobleman 1
none 1
north 1
not 5
of 45
offered 1
on 8
one 1
only 3
or 1
originally 1
orleans 1
other 1
out 5
over 2
overlords 1
own 2
paled 1
parallel 1
part 1
pass 2
passion 2
pickets 1
pirates 1
pivotal 1
place 1
plan 1
plans 1
plantation 1
possesses 1
poverty 2
power 1
powerful 1
presence 1
pride 2
prison 1
prospects 1
protect 1
punishment 1
purchase 1
purpose 1
queen 1
question 1
quite 1
raises 1
raising 2
ran 1
ranches 1
rape 1
raping 1
real 1
rebuilding 1
refuses 1
reis 1
resistance 1
retreats 1
return 2
returns 2
reveals 1
revenge 1
revolution 2
rift 1
robert 26
role 1
rotting 1
runs 1
sacrificed 1
safety 1
same 2
save 1
saved 1
schemes 1
scion 2
sea 4
seduction 1
see 1
seemed 1
sensual 1
separated 1
servant 2
set 2
seven 1
shady 1
shame 1
she 5
shipped 1
siege 1
since 1
sister 1
siutation 1
sizing 1
skills 1
slaying 1
sleeps 1
slugging 1
snaps 1
so 1
soldier 1
sometime 2
sometimes 1
somewhat 1
son 6
source 1
south 2
spent 1
spoiled 2
spousal 1
stalkerlike 1
stand 1
status 1
step 2
still 1
strength 1
strikes 1
subsequently 1
succumbs 1
suffer 1
survival 1
survives 1
sword 2
takes 3
taught 1
texas 1
than 1
that 9
the 65
their 5
them 2
then 5
there 1
they 1
thinks 1
third 1
this 5
thomas 3
though 3
threat 1
three 2
through 1
thus 2
time 2
timothy 1
tir 1
to 34
tore 1
towards 4
tragedy 1
tripoli 2
troublesome 1
true 1
try 1
turn 1
twenty 1
two 4
tyree 1
uncle 1
under 1
until 4
up 3
upon 2
ventured 1
victim 1
volume 1
vowing 1
waging 1
wanted 2
wants 1
war 3
warning 1
was 11
wealth 2
wedding 1
west 1
when 4
where 3
which 2
who 10
wife 3
will 2
wish 1
with 21
woman 1
women 2
won 1
words 1
working 1
works 1
would 4
years 10
